event_index	pair_index	fold	layer	pixel	half_bar	ecal_time_ns	cdet_time_master_ns	cdet_time_candidate_ns	tot_ns
0	0	0	1	413	25	-6.23268751528	52.1970429774	52.2620198771	5.653
0	0	0	2	1759	109	-6.23268751528	55.1928683467	55.2578452465	10.441
1	0	0	1	1022	63	14.7279549518	35.3291433019	35.1756016956	8.819
1	0	0	2	2379	148	14.7279549518	35.4126583176	35.2591167113	4.583
2	0	0	1	343	21	-1.47755336678	26.7378170436	26.7532208059	7.307
2	0	0	2	1686	105	-1.47755336678	26.6270921676	26.6424959299	4.221
3	0	0	1	137	8	-2.83861580553	30.6769270613	30.7065201469	12.977
3	0	0	2	1478	92	-2.83861580553	29.1439418145	29.1735349	16
4	0	0	1	478	29	14.1405049058	35.9604725486	35.8130552157	5.969
4	0	0	2	1826	114	14.1405049058	35.5705429143	35.4231255814	8.551
5	0	0	1	158	9	-1.53864964412	28.1307646734	28.1468053755	10.803
5	0	0	2	1498	93	-1.53864964412	30.8086591113	30.8246998134	9.685
6	0	0	1	485	30	8.81363535912	29.0211735358	28.9292897858	12.913
6	0	0	2	1831	114	8.81363535912	28.4305865289	28.3387027789	5.433
7	0	0	1	1287	80	1.4103	35.404798016	35.3900953823	9.59
7	0	0	2	2634	164	1.4103	34.292233588	34.2775309542	14.031
8	0	0	1	963	60	11.6430619999	30.8648140375	30.7434330007	6.976
8	0	0	2	2306	144	11.6430619999	33.2808635574	33.1594825206	7.811
9	0	0	1	1061	66	12.978544137	24.069873794	23.9345701133	8.063
9	0	0	2	2419	151	12.978544137	27.4973136046	27.3620099238	12
10	0	0	1	1012	63	7.70432715591	27.6700796717	27.5897606613	9.181
10	0	0	2	2356	147	7.70432715591	30.4668215026	30.3865024922	13.622
11	0	0	1	273	17	12.2481151266	30.3567145312	30.2290257057	8.378
11	0	0	2	1616	101	12.2481151266	30.4473819584	30.3196931329	4.693
12	0	0	1	1009	63	6.73505248816	24.1611048305	24.0908906846	20.724
12	0	0	2	2354	147	6.73505248816	30.8007316228	30.7305174769	5.102
13	0	0	1	272	17	3.2484137931	27.7075299909	27.6736646869	12.945
13	0	0	2	1616	101	3.2484137931	27.6959717996	27.6621064956	12.094
14	0	0	1	155	9	-3.66905358571	31.2644397914	31.3026903416	6.882
