run	status	shift_ns	config	run_file	log
3573	PASS	-7.951543	CDet_run3573_projection.conf	CDet_run3573.dat	CDet_cross_target_shift_logs/CDet_run3573_shift.log
3575	PASS	-7.923126	CDet_run3575_projection.conf	CDet_run3575.dat	CDet_cross_target_shift_logs/CDet_run3575_shift.log
3602	PASS	-9.513324	CDet_run3602_projection.conf	CDet_run3602.dat	CDet_cross_target_shift_logs/CDet_run3602_shift.log
3603	PASS	-9.410302	CDet_run3603_projection.conf	CDet_run3603.dat	CDet_cross_target_shift_logs/CDet_run3603_shift.log
3604	PASS	-9.545628	CDet_run3604_projection.conf	CDet_run3604.dat	CDet_cross_target_shift_logs/CDet_run3604_shift.log
3648	PASS	-9.392968	CDet_run3648_projection.conf	CDet_run3648.dat	CDet_cross_target_shift_logs/CDet_run3648_shift.log
3682	PASS	-9.289546	CDet_run3682_projection.conf	CDet_run3682.dat	CDet_cross_target_shift_logs/CDet_run3682_shift.log
3685	PASS	-9.290975	CDet_run3685_projection.conf	CDet_run3685.dat	CDet_cross_target_shift_logs/CDet_run3685_shift.log
3686	PASS	-9.304044	CDet_run3686_projection.conf	CDet_run3686.dat	CDet_cross_target_shift_logs/CDet_run3686_shift.log
3694	PASS	-9.377073	CDet_run3694_projection.conf	CDet_run3694.dat	CDet_cross_target_shift_logs/CDet_run3694_shift.log
3757	PASS	-9.196209	CDet_run3757_projection.conf	CDet_run3757.dat	CDet_cross_target_shift_logs/CDet_run3757_shift.log
3758	PASS	-9.310615	CDet_run3758_projection.conf	CDet_run3758.dat	CDet_cross_target_shift_logs/CDet_run3758_shift.log
3786	PASS	-9.355028	CDet_run3786_projection.conf	CDet_run3786.dat	CDet_cross_target_shift_logs/CDet_run3786_shift.log
3788	PASS	-9.327031	CDet_run3788_projection.conf	CDet_run3788.dat	CDet_cross_target_shift_logs/CDet_run3788_shift.log
3844	PASS	-9.302666	CDet_run3844_projection.conf	CDet_run3844.dat	CDet_cross_target_shift_logs/CDet_run3844_shift.log
3845	PASS	-9.340197	CDet_run3845_projection.conf	CDet_run3845.dat	CDet_cross_target_shift_logs/CDet_run3845_shift.log
3846	PASS	-9.247136	CDet_run3846_projection.conf	CDet_run3846.dat	CDet_cross_target_shift_logs/CDet_run3846_shift.log
4003	PASS	-9.440867	CDet_run4003_projection.conf	CDet_run4003.dat	CDet_cross_target_shift_logs/CDet_run4003_shift.log
4006	PASS	-9.467142	CDet_run4006_projection.conf	CDet_run4006.dat	CDet_cross_target_shift_logs/CDet_run4006_shift.log
4345	PASS	-12.015219	CDet_run4345_projection.conf	CDet_run4345.dat	CDet_cross_target_shift_logs/CDet_run4345_shift.log
4400	PASS	-11.342080	CDet_run4400_projection.conf	CDet_run4400.dat	CDet_cross_target_shift_logs/CDet_run4400_shift.log
4722	PASS	-11.247382	CDet_run4722_projection.conf	CDet_run4722.dat	CDet_cross_target_shift_logs/CDet_run4722_shift.log
4735	PASS	-10.824968	CDet_run4735_projection.conf	CDet_run4735.dat	CDet_cross_target_shift_logs/CDet_run4735_shift.log
4926	PASS	-11.104431	CDet_run4926_projection.conf	CDet_run4926.dat	CDet_cross_target_shift_logs/CDet_run4926_shift.log
4929	PASS	-10.998118	CDet_run4929_projection.conf	CDet_run4929.dat	CDet_cross_target_shift_logs/CDet_run4929_shift.log
4985	PASS	-10.996563	CDet_run4985_projection.conf	CDet_run4985.dat	CDet_cross_target_shift_logs/CDet_run4985_shift.log
5066	PASS	-10.997412	CDet_run5066_projection.conf	CDet_run5066.dat	CDet_cross_target_shift_logs/CDet_run5066_shift.log
5068	PASS	-10.949305	CDet_run5068_projection.conf	CDet_run5068.dat	CDet_cross_target_shift_logs/CDet_run5068_shift.log
5290	PASS	-10.840211	CDet_run5290_projection.conf	CDet_run5290.dat	CDet_cross_target_shift_logs/CDet_run5290_shift.log
5292	PASS	-10.823386	CDet_run5292_projection.conf	CDet_run5292.dat	CDet_cross_target_shift_logs/CDet_run5292_shift.log
5294	PASS	-10.878018	CDet_run5294_projection.conf	CDet_run5294.dat	CDet_cross_target_shift_logs/CDet_run5294_shift.log
5423	PASS	-10.775195	CDet_run5423_projection.conf	CDet_run5423.dat	CDet_cross_target_shift_logs/CDet_run5423_shift.log
5722	PASS	1.144480	CDet_run5722_projection.conf	CDet_run5722.dat	CDet_cross_target_shift_logs/CDet_run5722_shift.log
5723	PASS	1.153213	CDet_run5723_projection.conf	CDet_run5723.dat	CDet_cross_target_shift_logs/CDet_run5723_shift.log
5724	PASS	1.132296	CDet_run5724_projection.conf	CDet_run5724.dat	CDet_cross_target_shift_logs/CDet_run5724_shift.log
5726	PASS	1.170911	CDet_run5726_projection.conf	CDet_run5726.dat	CDet_cross_target_shift_logs/CDet_run5726_shift.log
5794	PASS	0.965988	CDet_run5794_projection.conf	CDet_run5794.dat	CDet_cross_target_shift_logs/CDet_run5794_shift.log
5795	PASS	1.005736	CDet_run5795_projection.conf	CDet_run5795.dat	CDet_cross_target_shift_logs/CDet_run5795_shift.log
