# CDet half-bar intercept alignment at common ECal time
# reference_ecal_time_ns 22
# common_within_slope_ns_per_ns 0.00326066
# detector_reference_ns 28.8066
# layer half_bar entries mean_ecal_ns mean_cdet_ns projected_cdet_at_reference_ns intercept_error_ns valid proposed_offset_increment_ns
1 0 0 nan nan nan nan 0 0
1 1 0 nan nan nan nan 0 0
1 2 0 nan nan nan nan 0 0
1 3 13 24.2586 22.9909 22.9836 3.05437 0 0
1 4 267 25.1936 31.3886 31.3781 0.207098 1 -2.57157
1 5 126 24.5042 29.8268 29.8186 0.569173 1 -1.01203
1 6 397 22.8102 29.5055 29.5028 0.190003 1 -0.696269
1 7 0 nan nan nan nan 0 0
1 8 956 23.7291 30.5096 30.504 0.0951855 1 -1.69739
1 9 2327 23.7747 30.944 30.9382 0.0530081 1 -2.13166
1 10 2062 22.837 29.9061 29.9034 0.0571051 1 -1.09681
1 11 1250 24.0917 31.5885 31.5816 0.0739833 1 -2.77507
1 12 543 24.3551 30.9954 30.9877 0.150201 1 -2.18114
1 13 1544 24.4305 31.1544 31.1465 0.0800078 1 -2.33989
1 14 1140 24.5096 31.5189 31.5107 0.0944232 1 -2.70414
1 15 1507 23.5815 30.0705 30.0653 0.0934171 1 -1.25876
1 16 2385 23.1308 29.895 29.8913 0.0608095 1 -1.08475
1 17 1587 23.414 30.1602 30.1556 0.0745158 1 -1.34901
1 18 1293 23.0781 29.7581 29.7546 0.0917752 1 -0.948016
1 19 779 22.9585 29.5994 29.5963 0.117257 1 -0.789748
1 20 964 22.4775 30.1798 30.1783 0.0960768 1 -1.37169
1 21 3335 22.237 29.3485 29.3478 0.0439877 1 -0.541186
1 22 87 23.0608 30.261 30.2575 0.414841 0 0
1 23 1384 21.8269 29.4366 29.4371 0.0973574 1 -0.630554
1 24 0 nan nan nan nan 0 0
1 25 4993 21.953 28.7498 28.7499 0.0492162 1 0.0566621
1 26 10136 21.8655 29.093 29.0934 0.0274234 1 -0.286823
1 27 9356 22.0401 29.1493 29.1492 0.0288491 1 -0.342611
1 28 8164 21.5815 28.0665 28.0679 0.0300047 1 0.738703
1 29 9632 20.6803 27.4673 27.4716 0.0335986 1 1.33499
1 30 18713 21.0094 28.8476 28.8508 0.0171933 1 -0.044271
1 31 1658 20.2451 26.8136 26.8194 0.0907581 1 1.9872
1 32 5822 19.6817 26.6399 26.6475 0.0335794 1 2.15909
1 33 7128 19.7533 26.2769 26.2842 0.0327632 1 2.52232
1 34 6009 21.6427 28.053 28.0542 0.0459632 1 0.752395
1 35 3000 23.6994 30.7538 30.7482 0.0770481 1 -1.94164
1 36 4650 20.7139 27.0975 27.1017 0.0383191 1 1.70485
1 37 3980 19.0206 26.8619 26.8716 0.0503969 1 1.93496
1 38 184 18.3581 28.4546 28.4664 0.552783 1 0.340143
1 39 1 20.986 30.9707 30.974 nan 0 0
1 40 0 nan nan nan nan 0 0
1 41 0 nan nan nan nan 0 0
1 42 0 nan nan nan nan 0 0
1 43 0 nan nan nan nan 0 0
1 44 1 25.4577 28.6555 28.6442 nan 0 0
1 45 106 26.3545 31.4619 31.4477 0.496386 1 -2.6411
1 46 654 25.7118 33.0941 33.082 0.11113 1 -4.27544
1 47 348 25.3839 31.1397 31.1287 0.244776 1 -2.32213
1 48 517 25.4785 31.2444 31.2331 0.174911 1 -2.42652
