# CDet half-bar intercept alignment at common ECal time
# reference_ecal_time_ns 22
# common_within_slope_ns_per_ns -0.00117886
# detector_reference_ns 28.737
# layer half_bar entries mean_ecal_ns mean_cdet_ns projected_cdet_at_reference_ns intercept_error_ns valid proposed_offset_increment_ns
1 0 0 nan nan nan nan 0 0
1 1 0 nan nan nan nan 0 0
1 2 0 nan nan nan nan 0 0
1 3 13 24.2586 22.9131 22.9158 3.05425 0 0
1 4 265 25.195 28.7365 28.7403 0.208231 1 -0.00325717
1 5 126 24.5509 29.0213 29.0243 0.551929 1 -0.287292
1 6 403 22.7952 28.6006 28.6016 0.223549 1 0.135443
1 7 0 nan nan nan nan 0 0
1 8 957 23.7268 28.7683 28.7703 0.100386 1 -0.0332974
1 9 2325 23.7757 28.7347 28.7368 0.0530355 1 0.000234582
1 10 2063 22.8372 28.7145 28.7155 0.0564879 1 0.0215479
1 11 1249 24.0864 28.7649 28.7674 0.0723003 1 -0.03034
1 12 541 24.3454 28.8428 28.8456 0.130426 1 -0.108569
1 13 1544 24.4305 28.7459 28.7488 0.0798899 1 -0.0117417
1 14 1139 24.5122 28.7819 28.7849 0.0894115 1 -0.0478879
1 15 1506 23.5778 28.74 28.7419 0.0928746 1 -0.00485409
1 16 2385 23.1308 28.7361 28.7374 0.0608208 1 -0.000394265
1 17 1588 23.4146 28.7603 28.762 0.072165 1 -0.0249883
1 18 1290 23.0717 28.7683 28.7696 0.0890876 1 -0.0325756
1 19 779 22.9585 28.7309 28.732 0.117148 1 0.00500107
1 20 975 22.4857 28.737 28.7376 0.0952666 1 -0.000537527
1 21 3335 22.2363 28.735 28.7353 0.0439771 1 0.00173803
1 22 87 23.0608 30.187 30.1883 0.414875 0 0
1 23 1384 21.8269 28.736 28.7358 0.097358 1 0.00121348
1 24 0 nan nan nan nan 0 0
1 25 4993 21.9521 28.7413 28.7412 0.0493656 1 -0.00421051
1 26 10146 21.8657 28.7565 28.7563 0.0277716 1 -0.0192846
1 27 9356 22.0402 28.7396 28.7397 0.0288751 1 -0.0026796
1 28 8162 21.5821 28.7369 28.7364 0.0300626 1 0.000651629
1 29 9631 20.6799 28.7362 28.7346 0.0337772 1 0.00238273
1 30 18715 21.0091 28.7403 28.7392 0.0171706 1 -0.00215088
1 31 1662 20.2556 28.6971 28.695 0.0930663 1 0.0420048
1 32 5827 19.6836 28.7175 28.7148 0.0343088 1 0.0222045
1 33 7124 19.7501 28.7275 28.7249 0.032472 1 0.0121433
1 34 6010 21.6434 28.7279 28.7274 0.0461334 1 0.00956768
1 35 2999 23.7012 28.7809 28.7829 0.0761728 1 -0.0459254
1 36 4651 20.7133 28.7399 28.7384 0.0383992 1 -0.00141652
1 37 3981 19.0211 28.7371 28.7336 0.0503564 1 0.00342045
1 38 186 18.4455 28.4016 28.3974 0.58842 1 0.339612
1 39 1 20.986 30.9034 30.9022 nan 0 0
1 40 0 nan nan nan nan 0 0
1 41 0 nan nan nan nan 0 0
1 42 0 nan nan nan nan 0 0
1 43 0 nan nan nan nan 0 0
1 44 1 25.4577 28.5738 28.5779 nan 0 0
1 45 103 26.3122 28.2036 28.2087 0.425579 1 0.528326
1 46 656 25.7275 28.7582 28.7626 0.110987 1 -0.025561
1 47 348 25.3839 28.7512 28.7552 0.244647 1 -0.0181381
