# CDet all-pixel ECal-CDet timing-offset extraction
# run 5710
# calibration_stage 7
# timing_units ns
# ecal_energy_cut_gev 1 12
# dt = tECal - tCDetLE
# fit_interval_ns -30 0
# calibration_centroid_source gaus(0)+pol1(3)_signal_mean; background subtraction is diagnostic only
# background_fit_interval_ns -60 30
# peak_seed_interval_ns -25 -5
# background_rejection_nsigma 2.5
# reference_scope detector-wide
# detector_mu0_ns -8.70682 detector_mu0_err_ns 0.00557766
# residual_correction = mu_i - detector_mu0; total_offset = existing_offset + residual_correction
# pixel_id bar entries fit_status valid_fit detector_reference_valid mu_ns mu_err_ns sigma_ns sigma_err_ns residual_correction_ns correction_err_ns total_offset_ns detector_mu0_ns detector_mu0_err_ns chi2 ndf chi2_ndf amplitude amplitude_err background_amplitude background_amplitude_limit background_mean_ns background_sigma_ns reject_low_ns reject_high_ns validity_code failure_reason
0 0 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
1 0 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
2 0 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
3 0 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 1 "unused pixel"
4 0 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
5 0 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
6 0 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
7 0 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
8 0 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
9 0 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
10 0 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
11 0 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
12 0 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
13 0 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 1 "unused pixel"
14 0 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
15 0 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
16 1 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
17 1 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
18 1 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
19 1 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
20 1 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
21 1 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
22 1 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
23 1 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
24 1 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
25 1 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
26 1 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
27 1 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
28 1 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 1 "unused pixel"
29 1 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
30 1 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
31 1 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 1 "unused pixel"
32 2 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
33 2 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
34 2 0 -1 0 1 nan nan nan nan 0 nan 0 -8.70682 0.00557766 nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
