# CDet hierarchical eight-pixel-group timing diagnostic
# reference median of valid constrained individual centroids
# pixel bar group entries source broad_mu_ns group_mu_ns used_mu_ns used_mu_err_ns used_sigma_ns correction_ns total_offset_ns fit_status reason
0 0 0 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
1 0 0 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
2 0 0 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
3 0 0 0 unused nan nan nan nan nan 0 0 -1 "known unused pixel"
4 0 0 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
5 0 0 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
6 0 0 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
7 0 0 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
8 0 1 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
9 0 1 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
10 0 1 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
11 0 1 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
12 0 1 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
13 0 1 0 unused nan nan nan nan nan 0 0 -1 "known unused pixel"
14 0 1 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
15 0 1 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
16 1 2 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
17 1 2 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
18 1 2 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
19 1 2 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
20 1 2 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
21 1 2 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
22 1 2 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
23 1 2 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
24 1 3 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
25 1 3 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
26 1 3 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
27 1 3 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
28 1 3 0 unused nan nan nan nan nan 0 0 -1 "known unused pixel"
29 1 3 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
30 1 3 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
31 1 3 0 unused nan nan nan nan nan 0 0 -1 "known unused pixel"
32 2 4 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
