# CANDIDATE DIAGNOSTIC PRODUCT -- NOT AN ACTIVE CALIBRATION
# run 5710
# calibration_stage 2
# timing_units ns
# selection fourth-pass baseline good-hit vectors; instrumented physical logical IDs only
# ecal_energy_cut_gev 1 12
# dt = tECal - tCDetLE
# fit_interval_ns 70 100
# background_fit_interval_ns 0 130
# local_and_clean_fit_interval_ns 70 100
# peak_seed_interval_ns 78 90
# background_rejection_nsigma 2.5
# reference_scope bar-local
# mu0_ns 84.7615 mu0_err_ns 0.0216674
# correction c_i = mu_i - mu0; proposed convention tCDet_i' = tCDet_i + c_i
# pixel_id entries fit_status valid mu_ns mu_err_ns sigma_ns sigma_err_ns correction_ns correction_err_ns chi2 ndf chi2_ndf amplitude amplitude_err background_amplitude background_amplitude_limit background_mean_ns background_sigma_ns reject_low_ns reject_high_ns validity_code failure_reason
464 0 -1 0 nan nan nan nan nan nan nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
465 0 -1 0 nan nan nan nan nan nan nan 0 nan nan nan nan nan nan nan nan nan 1 "unused pixel"
466 0 -1 0 nan nan nan nan nan nan nan 0 nan nan nan nan nan nan nan nan nan 2 "insufficient entries"
467 1186 0 1 84.3861 0.057725 1.86185 0.0510183 -0.3754 0.0535042 18.0935 17 1.06432 240.672 9.60173 2.67712 13 80.2408 16.1619 79.6723 89.0979 10 "valid"
468 732 0 1 83.6929 0.131366 2.5884 0.121033 -1.06867 0.129566 34.1615 24 1.4234 74.186 4.70513 29.8202 41 96.0152 3.12429 78.5652 88.8568 10 "valid"
469 1677 0 1 85.3988 0.0546235 1.97669 0.0458709 0.637217 0.0501424 45.9655 22 2.08934 302.301 10.2805 7.13484 22 80.9125 10.1002 80.3518 90.4382 10 "valid"
470 1718 0 1 85.0795 0.049471 1.78372 0.0430836 0.317939 0.0444737 42.7558 24 1.78149 337.524 11.6141 9.22092 22 81.7494 8.1196 80.4474 89.6881 10 "valid"
471 2914 0 0 84.2054 0.107321 4.00465 0.04993 nan nan 858 27 31.7778 188.723 4.90478 9.1825 17 89.4461 9.75931 73.4897 95.0846 9 "chi2/NDF outside limit"
472 1730 0 1 84.6722 0.0574624 1.97659 0.0451398 -0.0893404 0.0532208 20.4941 19 1.07863 303.108 10.24 19 19 82.5781 4.37972 79.2842 89.859 10 "valid"
473 1228 0 1 84.6561 0.0516364 1.64057 0.0482088 -0.105475 0.0468705 52.6089 24 2.19204 267.776 11.1097 3.14305 25 84.9144 16.3903 80.5035 88.8108 10 "valid"
474 508 0 1 84.5647 0.0936067 1.86254 0.0862315 -0.196804 0.0910645 22.0385 19 1.15992 96.2873 6.19776 1.7964 7 84.5464 22.5222 79.8632 89.27 10 "valid"
475 176 0 1 84.495 0.254671 2.5891 0.166623 -0.266559 0.253747 8.42309 17 0.495476 22.7935 2.3135 1.12843 2 94.3659 38.0308 77.6728 91.2181 10 "valid"
476 167 0 1 84.6378 0.21664 2.17828 0.174211 -0.123751 0.215553 5.09922 15 0.339948 24.7797 2.81176 1.57949 3 86.6173 26.1727 79.1151 90.2022 10 "valid"
477 348 0 1 84.3973 0.136096 2.12171 0.0973947 -0.364195 0.13436 16.7318 14 1.19513 56.9568 4.07842 1.77363 4 85.1866 25.1783 79.0017 89.9145 10 "valid"
478 993 0 1 84.3945 0.0829042 2.39669 0.0611359 -0.367042 0.0800227 19.3965 22 0.881658 155.897 6.3694 1.79543 8 86.4131 21.5821 78.3327 90.4649 10 "valid"
479 0 -1 0 nan nan nan nan nan nan nan 0 nan nan nan nan nan nan nan nan nan 1 "unused pixel"
