event_index	pair_index	fold	layer	pixel	half_bar	ecal_time_ns	cdet_time_master_ns	cdet_time_candidate_ns	tot_ns
0	0	0	1	1221	76	12.2261013543	27.4777928534	27.3027196811	4.929
0	0	0	2	2572	160	12.2261013543	29.9205871549	29.7455139826	10.976
1	0	0	1	807	50	23.0606010084	36.7210411593	36.3908220275	13.906
1	0	0	2	2149	134	23.0606010084	30.388325447	30.0581063152	16.897
2	0	0	1	209	13	19.5595977994	37.6012388306	37.3211527478	9.181
2	0	0	2	1553	97	19.5595977994	35.4938275211	35.2137414383	12.598
3	0	0	1	1089	68	10.6232497442	36.6263318764	36.4742109362	5.496
3	0	0	2	2438	152	10.6232497442	32.3325431973	32.1804222571	6.031
4	0	0	1	492	30	13.3588173421	29.2566751021	29.0653818629	11.653
4	0	0	2	1837	114	13.3588173421	28.7571140487	28.5658208095	9.402
5	0	0	1	439	27	10.5346153846	29.3017600563	29.1509083268	5.969
5	0	0	2	1785	111	10.5346153846	28.628276255	28.4774245255	9.496
6	0	0	1	794	49	24.0506282872	32.9131270594	32.5687311094	5.464
6	0	0	2	2134	133	24.0506282872	30.4935486308	30.1491526808	21.622
7	0	0	1	458	28	12.826822874	26.9980026038	26.8143273253	4.347
7	0	0	2	1805	112	12.826822874	29.2296489331	29.0459736545	11.748
8	0	0	1	883	55	20.9596013099	28.5474671796	28.2473335732	10
8	0	0	2	2224	139	20.9596013099	29.5602223592	29.2600887528	8.283
9	0	0	1	506	31	8.38112183543	28.0264105592	27.9063960472	17.338
9	0	0	2	1857	116	8.38112183543	26.2913662516	26.1713517396	11.748
10	0	0	1	348	21	13.9493327433	31.7886236724	31.5888744748	13.874
10	0	0	2	1693	105	13.9493327433	31.4949632069	31.2952140093	19.653
11	0	0	1	443	27	10.8494760029	45.1998167575	45.0444563424	6.267
11	0	0	2	1791	111	10.8494760029	43.1365207754	42.9811603603	7.653
12	0	0	1	506	31	16.2825151853	22.4511848202	22.2180253277	24.677
12	0	0	2	1857	116	16.2825151853	26.8332094706	26.6000499781	14.362
13	0	0	1	430	26	9.23630169241	28.3822282832	28.2499679173	20.378
13	0	0	2	1776	111	9.23630169241	28.4532616454	28.3210012795	6.992
14	0	0	1	538	33	10.8515719267	28.8476514528	28.6922610248	9.968
14	0	0	2	1888	118	10.8515719267	28.7558083651	28.6004179372	12.567
15	0	0	1	110	6	22.7033484066	33.6721482004	33.3470447915	10.472
15	0	0	2	1451	90	22.7033484066	31.3003421104	30.9752387015	14.189
16	0	0	1	901	56	21.6428542173	30.3160285585	30.0061110274	11.481
16	0	0	2	2242	140	21.6428542173	31.3280981373	31.0181806063	9.59
17	0	0	1	280	17	11.1473282381	27.4218638706	27.2622383235	7.843
17	0	0	2	1626	101	11.1473282381	31.0352759832	30.8756504361	9.622
18	0	0	1	1114	69	12.4713024785	29.1879909611	29.0094066009	14.126
18	0	0	2	2463	153	12.4713024785	25.415461624	25.2368772638	11.748
19	0	0	1	489	30	12.170414516	25.9457877155	25.7715119578	16.126
19	0	0	2	1833	114	12.170414516	29.7888360659	29.6145603082	9.811
20	0	0	1	217	13	19.5064446487	32.0600341643	31.7807092146	7.906
20	0	0	2	1560	97	19.5064446487	34.837825925	34.5585009753	13.874
21	0	0	1	1265	79	11.4688025212	27.221776811	27.0575478731	12.473
21	0	0	2	2616	163	11.4688025212	27.3798693386	27.2156404007	12.771
22	0	0	1	267	16	17.4267722167	31.0778862388	30.8283414161	11.937
22	0	0	2	1611	100	17.4267722167	31.9358862075	31.6863413847	5.433
23	0	0	1	1057	66	15.6299761199	29.4237580775	29.199942699	14.976
23	0	0	2	2403	150	15.6299761199	30.9609698339	30.7371544553	17.401
24	0	0	1	1212	75	12.9350243659	33.3264821383	33.1412574551	4
24	0	0	2	2561	160	12.9350243659	30.7584343366	30.5732096534	8.693
25	0	0	1	1060	66	15.2802743655	28.88957268	28.670764899	13.26
25	0	0	2	2406	150	15.2802743655	26.3542591772	26.1354513962	24.22
25	1	0	1	1059	66	15.2802743655	31.8291101343	31.6103023534	5.716
25	1	0	2	2411	150	15.2802743655	32.6691265933	32.4503188124	9.024
26	0	0	1	1089	68	14.9826835766	33.380148051	33.1656016582	6.063
26	0	0	2	2437	152	14.9826835766	28.3873296629	28.17278327	5.874
27	0	0	1	476	29	8.85252192928	30.4310369853	30.3042722013	16.677
27	0	0	2	1824	114	8.85252192928	32.5173814542	32.3906166702	5.622
28	0	0	1	486	30	15.5850190518	25.7450204549	25.5218488447	17.874
28	0	0	2	1831	114	15.5850190518	26.5161237203	26.29295211	20.488
29	0	0	1	807	50	24.5296251822	31.6808756102	31.3296206048	13.071
29	0	0	2	2153	134	24.5296251822	33.4751664933	33.1239114879	7.843
30	0	0	1	478	29	14.390610927	29.3420846651	29.1360165299	16.677
30	0	0	2	1825	114	14.390610927	27.0249577581	26.8188896229	10.977
31	0	0	1	429	26	7.0219596678	26.6925114517	26.5919596306	11.811
31	0	0	2	1776	111	7.0219596678	26.0745637833	25.9740119623	5.071
32	0	0	1	457	28	15.5058979592	31.9005264209	31.6784877949	5.843
32	0	0	2	1803	112	15.5058979592	36.1552808625	35.9332422365	7.402
33	0	0	1	488	30	13.4807721973	29.5076077334	29.3145681466	16.677
33	0	0	2	1833	114	13.4807721973	30.4637132363	30.2706736494	14.788
34	0	0	1	217	13	19.9682882962	30.8571070812	30.5711687042	13.748
34	0	0	2	1560	97	19.9682882962	31.9098054241	31.6238670471	12.977
35	0	0	1	414	25	9.29757325919	28.651901636	28.5187638844	15.496
35	0	0	2	1760	110	9.29757325919	27.6720480438	27.5389102922	17.166
36	0	0	1	454	28	13.3657265935	29.1179702047	28.9265780276	21.291
36	0	0	2	1798	112	13.3657265935	29.8586212265	29.6672290495	6.031
37	0	0	1	901	56	20.9318145567	27.1528675306	26.85313182	20.835
37	0	0	2	2242	140	20.9318145567	25.8537933689	25.5540576583	20.252
38	0	0	1	905	56	19.7542341916	33.9947240521	33.7118508494	8.945
38	0	0	2	2247	140	19.7542341916	31.5025066384	31.2196334357	9.843
39	0	0	1	917	57	20.9012898131	30.3947973888	30.095498781	27.181
39	0	0	2	2260	141	20.9012898131	30.5549062639	30.2556076562	5.15
40	0	0	1	902	56	17.2461783712	28.56573757	28.3187787832	16.158
40	0	0	2	2244	140	17.2461783712	32.2674641144	32.0205053276	14.756
41	0	0	1	486	30	12.7106304294	30.7182498407	30.5362383943	15.559
41	0	0	2	1830	114	12.7106304294	31.7929830982	31.6109716517	8.504
42	0	0	1	1031	64	17.431959147	26.1867511054	25.9371320077	12.929
42	0	0	2	2376	148	17.431959147	37.8859177092	37.6362986116	12.221
43	0	0	1	486	30	8.38410021934	30.9049789929	30.7849218316	15.874
43	0	0	2	1830	114	8.38410021934	31.05317825	30.9331210887	12.094
44	0	0	1	997	62	17.5238013994	30.1473121805	29.8963779363	11.024
44	0	0	2	2342	146	17.5238013994	29.4311358408	29.1802015967	12.221
45	0	0	1	430	26	10.1194677877	31.4461379819	31.3012310098	11.969
45	0	0	2	1777	111	10.1194677877	29.9459773998	29.8010704277	4.677
46	0	0	1	430	26	13.2518459335	31.5950618454	31.4053003965	11.48
46	0	0	2	1777	111	13.2518459335	31.4849554628	31.2951940139	8.929
47	0	0	1	488	30	14.1935751788	28.113127484	27.9098808266	17.653
47	0	0	2	1832	114	14.1935751788	28.9399700231	28.7367233657	12.866
48	0	0	1	312	19	15.2165547083	29.3105717089	29.0926763695	5.717
48	0	0	2	1657	103	15.2165547083	28.9639659767	28.7460706372	10.929
49	0	0	1	457	28	7.86277193159	30.3127222985	30.2001303621	4.504
49	0	0	2	1802	112	7.86277193159	29.5824875158	29.4698955794	9.023
50	0	0	1	1221	76	13.5779536074	32.8007052827	32.6062740946	5.905
50	0	0	2	2571	160	13.5779536074	31.1490248377	30.9545936496	10.851
51	0	0	1	1057	66	16.5869394037	31.4030002935	31.1654815607	11.527
51	0	0	2	2404	150	16.5869394037	29.6758890358	29.438370303	17.717
52	0	0	1	443	27	11.8919917972	26.6567534109	26.4864645618	4.819
52	0	0	2	1789	111	11.8919917972	29.4262407212	29.2559518721	8.614
53	0	0	1	383	23	17.6062730375	27.9836502261	27.7315350191	8.347
53	0	0	2	1737	108	17.6062730375	29.7960752898	29.5439600828	8.897
55	0	0	1	908	56	23.447291627	27.801348534	27.465592138	11.023
55	0	0	2	2249	140	23.447291627	30.3354019602	29.9996455642	8.771
56	0	0	1	487	30	10.9478820101	29.1021794619	28.9454099098	20
56	0	0	2	1832	114	10.9478820101	31.1675635675	31.0107940153	10.126
57	0	0	1	221	13	16.5656580333	32.2764810823	32.0392670907	4.283
57	0	0	2	1563	97	16.5656580333	32.3644175608	32.1272035692	13.339
58	0	0	1	491	30	11.9967277314	27.1883941486	27.0166055203	19.464
58	0	0	2	1837	114	11.9967277314	25.6707383734	25.498949745	18.063
59	0	0	1	432	27	12.3586478093	30.7492595681	30.5722883804	8.866
59	0	0	2	1779	111	12.3586478093	29.2501333483	29.0731621606	4.977
60	0	0	1	492	30	9.519508081	30.229992968	30.0936771932	10.441
60	0	0	2	1835	114	9.519508081	29.8418835467	29.7055677719	11.165
61	0	0	1	973	60	13.257879566	32.9992504289	32.8094025807	11.559
61	0	0	2	2318	144	13.257879566	29.8423777414	29.6525298932	5.496
62	0	0	1	487	30	10.2638055248	28.3339397404	28.1869659061	15.78
62	0	0	2	1832	114	10.2638055248	31.4155545807	31.2685807465	12.599
63	0	0	1	983	61	14.9157374768	27.9547272602	27.7411395104	13.386
63	0	0	2	2328	145	14.9157374768	34.0813693839	33.867781634	11.528
64	0	0	1	280	17	12.5908752563	29.5143399231	29.3340433257	8.536
64	0	0	2	1624	101	12.5908752563	31.2210550695	31.0407584721	14.063
65	0	0	1	1254	78	11.9521318836	26.5329322008	26.3617821682	15.276
65	0	0	2	2601	162	11.9521318836	26.2612236455	26.090073613	4.662
66	0	0	1	434	27	12.3921673165	48.9780803818	48.8006292073	15.906
66	0	0	2	1780	111	12.3921673165	48.8373624483	48.6599112738	17.496
67	0	0	1	809	50	21.7994785823	32.2297380834	31.9175777504	5.905
67	0	0	2	2150	134	21.7994785823	34.616329421	34.3041690879	9.716
68	0	0	1	428	26	13.0858625054	30.4476337418	30.2602491132	9.969
68	0	0	2	1774	110	13.0858625054	33.079771753	32.8923871244	11.086
69	0	0	1	795	49	24.7171673637	30.2874151242	29.9334745854	12.771
69	0	0	2	2134	133	24.7171673637	28.6647343726	28.3107938337	18.441
70	0	0	1	1063	66	10.2615252046	30.7021866672	30.5552454863	11.842
70	0	0	2	2411	150	10.2615252046	29.1293001175	28.9823589366	11.118
71	0	0	1	490	30	12.738612998	26.8058208504	26.6234087041	16.346
71	0	0	2	1835	114	12.738612998	29.0962355278	28.9138233815	16.929
72	0	0	1	228	14	19.1578561854	33.4633526414	33.1890193473	8.725
72	0	0	2	1572	98	19.1578561854	33.1234336991	32.8491004051	8.158
73	0	0	1	486	30	11.0639441005	29.0294175748	28.8709860572	17.527
73	0	0	2	1831	114	11.0639441005	30.7684386553	30.6100071377	12.536
74	0	0	1	482	30	11.1756540828	27.3938082479	27.2337770853	25.748
74	0	0	2	1828	114	11.1756540828	28.8437717165	28.683740554	5.417
76	0	0	1	1253	78	11.2011402366	27.7222255447	27.56182943	8.032
76	0	0	2	2602	162	11.2011402366	27.6224056051	27.4620094904	19.229
77	0	0	1	492	30	12.2737816006	29.9313820067	29.7556260712	4.977
77	0	0	2	1837	114	12.2737816006	32.7268578786	32.5511019431	9.59
78	0	0	1	1064	66	11.7804388916	23.0514610496	22.8827695961	8.677
78	0	0	2	2412	150	11.7804388916	25.127430707	24.9587392535	15.968
79	0	0	1	488	30	13.3472346645	31.4404912254	31.2493638458	10.85
79	0	0	2	1832	114	13.3472346645	30.5572792404	30.3661518607	13.071
80	0	0	1	509	31	8.13635915929	31.7310412381	31.6145316356	4.614
80	0	0	2	1859	116	8.13635915929	30.6854711065	30.5689615039	14.284
81	0	0	1	414	25	15.18113324	31.3304339249	31.1130458076	8.835
81	0	0	2	1762	110	15.18113324	32.3902087828	32.1728206655	13.622
82	0	0	1	1265	79	9.79878006079	27.7044058179	27.5640909734	17.591
82	0	0	2	2616	163	9.79878006079	29.4871792215	29.346864377	18.582
83	0	0	1	454	28	10.5832402027	27.216247985	27.0646999664	27.496
83	0	0	2	1800	112	10.5832402027	30.3105982802	30.1590502615	8.961
84	0	0	1	447	27	9.31932196589	26.5267470679	26.393297883	4.976
84	0	0	2	1792	112	9.31932196589	28.2792960851	28.1458469002	8.315
85	0	0	1	470	29	12.8444240633	28.5420831303	28.3581558094	10
85	0	0	2	1816	113	12.8444240633	29.7718698998	29.5879425789	16.661
86	0	0	1	973	60	17.6382843931	32.2167464567	31.9641728592	6.457
86	0	0	2	2317	144	17.6382843931	29.6558301084	29.4032565108	8.74
87	0	0	1	838	52	27.0138593844	33.8493880701	33.4625597654	9.433
87	0	0	2	2181	136	27.0138593844	27.575782165	27.1889538603	13.401
88	0	0	1	1265	79	9.3560068699	30.75117109	30.617196591	16.582
88	0	0	2	2616	163	9.3560068699	30.4481538879	30.314179389	11.213
89	0	0	1	510	31	8.11378268987	27.974165087	27.857978771	13.748
89	0	0	2	1860	116	8.11378268987	30.9463238195	30.8301375035	8
90	0	0	1	528	33	13.9515542922	28.4437430942	28.2439620848	16.031
90	0	0	2	1878	117	13.9515542922	29.2162762102	29.0164952009	4.945
91	0	0	1	510	31	9.65892589842	30.2613235392	30.1230113537	11.78
91	0	0	2	1860	116	9.65892589842	30.4315416271	30.2932294417	9.716
92	0	0	1	249	15	13.7091591386	27.9949915973	27.7986815954	12.315
92	0	0	2	1591	99	13.7091591386	28.8045866892	28.6082766872	13.055
93	0	0	1	486	30	14.6500326441	31.2998684116	31.090085455	16.677
93	0	0	2	1830	114	14.6500326441	29.4764201252	29.2666371686	8.897
94	0	0	1	422	26	13.996949562	30.1960137133	29.9955826607	15.59
94	0	0	2	1769	110	13.996949562	31.4501385722	31.2497075196	11.402
95	0	0	1	276	17	10.4047760201	33.5257479848	33.3767555061	4.599
95	0	0	2	1619	101	10.4047760201	33.018393677	32.8694011983	12.929
96	0	0	1	1002	62	12.8068102476	26.4225177263	26.2391290211	7.26
96	0	0	2	2347	146	12.8068102476	25.860341548	25.6769528428	12.63
96	1	0	1	1001	62	12.8068102476	27.7191484565	27.5357597513	14.032
96	1	0	2	2345	146	12.8068102476	20.1140539117	19.9306652065	5.212
97	0	0	1	430	26	11.6489214678	31.4873300214	31.3205218479	12.378
97	0	0	2	1769	110	11.6489214678	29.5321205572	29.3653123837	9.905
98	0	0	1	293	18	17.0328081268	25.6178408632	25.373937458	6.504
98	0	0	2	1632	102	17.0328081268	31.884154894	31.6402514889	9.118
99	0	0	1	1093	68	14.3163626658	31.9846735477	31.7796686197	5.874
99	0	0	2	2441	152	14.3163626658	30.5500493078	30.3450443797	7.559
100	0	0	1	580	36	11.3544012413	30.1408052839	29.9782145293	6.063
100	0	0	2	1928	120	11.3544012413	26.7856331378	26.6230423831	11.465
101	0	0	1	1229	76	25.7599067532	32.9038318379	32.5349596632	6.882
101	0	0	2	2580	161	25.7599067532	32.6982201161	32.3293479415	10.284
102	0	0	1	486	30	7.09315086502	32.6831188576	32.5815476054	8.032
102	0	0	2	1827	114	7.09315086502	29.0596667976	28.9580955454	7.937
103	0	0	1	984	61	12.6722675732	26.4043222858	26.2228601811	8.157
103	0	0	2	2329	145	12.6722675732	31.4625135275	31.2810514227	13.937
104	0	0	1	524	32	13.7520232767	27.1330779364	26.9361541361	7.166
104	0	0	2	1872	117	13.7520232767	30.9178550954	30.7209312951	6.709
106	0	0	1	430	26	9.59170352891	29.0510704501	28.9137208636	14.536
106	0	0	2	1776	111	9.59170352891	27.3063187591	27.1689691727	11.275
107	0	0	1	431	26	9.70760476962	27.8906742351	27.7516649865	13.622
107	0	0	2	1777	111	9.70760476962	27.4249336303	27.2859243816	6.583
108	0	0	1	489	30	13.2472959613	27.6702953715	27.4805990765	13.779
108	0	0	2	1833	114	13.2472959613	28.5783998442	28.3887035492	10.094
109	0	0	1	290	18	17.8319120733	30.2244576471	29.969111374	9.748
109	0	0	2	1634	102	17.8319120733	33.1376406653	32.8822943922	11.071
110	0	0	1	983	61	16.6245726117	27.5169249292	27.278867303	9.874
110	0	0	2	2329	145	16.6245726117	30.6821250079	30.4440673817	13.811
111	0	0	1	237	14	20.1029646212	31.3565962991	31.0687294078	10.583
111	0	0	2	1578	98	20.1029646212	31.0838748999	30.7960080086	6.032
112	0	0	1	1211	75	8.9714373532	28.202663075	28.0741954669	9.874
112	0	0	2	2561	160	8.9714373532	29.8714758827	29.7430082746	5.968
113	0	0	1	865	54	18.2397770631	27.8282601833	27.5670734369	12.221
113	0	0	2	2209	138	18.2397770631	33.8202636363	33.5590768899	13.937
114	0	0	1	491	30	12.7247624861	27.739150972	27.5569371599	15.465
114	0	0	2	1835	114	12.7247624861	31.1802248188	30.9980110067	13.575
116	0	0	1	934	58	14.3880406837	33.597637129	33.3916057987	14.252
116	0	0	2	2277	142	14.3880406837	36.2042356012	35.9982042709	6.819
117	0	0	1	478	29	7.07571201809	29.4768393846	29.3755178502	10.567
117	0	0	2	1826	114	7.07571201809	27.3454208126	27.2440992781	11.622
118	0	0	1	430	26	12.923972298	32.7678044535	32.5827380317	10.315
118	0	0	2	1776	111	12.923972298	30.1514258651	29.9663594434	5.37
119	0	0	1	299	18	19.7483413727	30.6177733213	30.3349845015	15.559
119	0	0	2	1642	102	19.7483413727	29.1044989749	28.8217101551	12.094
121	0	0	1	422	26	11.9936801953	30.7466548842	30.5749098954	14.284
121	0	0	2	1769	110	11.9936801953	31.0291063096	30.8573613208	15.874
122	0	0	1	486	30	13.1691140596	29.9379317503	29.7493549907	11.748
122	0	0	2	1831	114	13.1691140596	30.5190493126	30.3304725531	12.315
123	0	0	1	1041	65	19.0810577726	29.4545170446	29.1812834749	18.346
123	0	0	2	2394	149	19.0810577726	31.2155150833	30.9422815137	12.063
124	0	0	1	932	58	13.7612360173	32.6249878836	32.4279321603	12.567
124	0	0	2	2274	142	13.7612360173	29.6477941102	29.450738387	6.504
125	0	0	1	486	30	11.5926963872	25.7674038649	25.6014008135	16.898
125	0	0	2	1831	114	11.5926963872	29.9863944322	29.8203913808	10.346
126	0	0	1	796	49	23.6248381379	33.0122592586	32.6739604633	14.094
126	0	0	2	2135	133	23.6248381379	29.9669223879	29.6286235927	13.748
128	0	0	1	372	23	12.6066946611	29.4444456414	29.263922516	7.37
128	0	0	2	1718	107	12.6066946611	36.424387063	36.2438639377	13.386
129	0	0	1	457	28	14.2552528114	30.7256410971	30.5215112392	8.031
129	0	0	2	1801	112	14.2552528114	29.937826929	29.7336970711	11.811
131	0	0	1	208	13	20.8996008412	32.8317994364	32.5325250141	10.189
131	0	0	2	1553	97	20.8996008412	35.7277914313	35.428517009	7.118
132	0	0	1	456	28	9.13856103983	27.9609983638	27.8301376074	5.622
132	0	0	2	1801	112	9.13856103983	28.7672701932	28.6364094368	13.559
133	0	0	1	519	32	8.05535953704	29.5956134748	29.4802637563	10.22
133	0	0	2	1865	116	8.05535953704	33.7787116971	33.6633619787	17.244
134	0	0	1	1230	76	13.7035708895	29.2136235469	29.0173935666	10.85
134	0	0	2	2580	161	13.7035708895	30.0079247856	29.8116948053	12.315
135	0	0	1	490	30	13.7164172848	25.580658408	25.3842444721	24.315
135	0	0	2	1834	114	13.7164172848	30.8534101984	30.6569962625	9.386
136	0	0	1	513	32	9.48715203454	30.8554045194	30.719552071	7.213
136	0	0	2	1860	116	9.48715203454	32.6364119602	32.5005595118	12
137	0	0	1	1044	65	13.0370601378	28.7626755829	28.5759897858	11.071
137	0	0	2	2397	149	13.0370601378	28.1906379658	28.0039521687	18.22
138	0	0	1	1024	64	9.80484095419	21.4097682756	21.2693666414	4.315
138	0	0	2	2371	148	9.80484095419	25.0095097111	24.8691080769	4.456
139	0	0	1	434	27	7.61152895819	21.9638121785	21.854817947	18.756
139	0	0	2	1783	111	7.61152895819	17.6663696796	17.5573754481	25.622
140	0	0	1	987	61	19.8731012436	26.2353822238	25.9508068896	21.575
140	0	0	2	2331	145	19.8731012436	32.4981040928	32.2135287586	13.968
141	0	0	1	489	30	11.3444750117	27.7692640307	27.606815416	20.992
141	0	0	2	1833	114	11.3444750117	29.7667238657	29.6042752509	10.599
142	0	0	1	290	18	12.2084094752	33.857530297	33.6827104657	12.221
142	0	0	2	1632	102	12.2084094752	35.3446201225	35.1698002913	8.567
143	0	0	1	429	26	8.84767495883	27.2369526536	27.1102572764	17.071
143	0	0	2	1775	110	8.84767495883	25.9464774673	25.8197820901	18.315
144	0	0	1	216	13	21.9995331413	32.774779626	32.4597545869	6.913
144	0	0	2	1559	97	21.9995331413	34.3472225822	34.0321975432	5.685
145	0	0	1	604	37	10.8067345502	29.4642236019	29.3094752282	14.866
145	0	0	2	1955	122	10.8067345502	27.4128491555	27.2581007819	7.968
146	0	0	1	459	28	9.38243889726	32.7710344832	32.6366814876	9.842
146	0	0	2	1806	112	9.38243889726	29.4101491717	29.2757961761	11.969
147	0	0	1	485	30	9.45835449174	28.2759710521	28.1405309737	16.031
147	0	0	2	1829	114	9.45835449174	31.5083010995	31.3728610211	16.724
148	0	0	1	158	9	20.3881559811	28.9112848822	28.619334158	7.748
148	0	0	2	1497	93	20.3881559811	28.1759721896	27.8840214653	19.071
149	0	0	1	473	29	14.6639568181	35.0229699027	34.8129875571	6.614
149	0	0	2	1818	113	14.6639568181	33.8664070156	33.6564246701	6.866
150	0	0	1	457	28	12.7823063048	32.884666364	32.701628546	12.221
150	0	0	2	1802	112	12.7823063048	29.8612125273	29.6781747093	13.905
151	0	0	1	487	30	10.0946851806	25.1432727758	24.9987206813	19.732
151	0	0	2	1832	114	10.0946851806	30.3585178134	30.2139657189	10.236
152	0	0	1	526	32	14.2455724299	25.6007840196	25.3967927811	8
152	0	0	2	1874	117	14.2455724299	28.1746447421	27.9706535036	10.756
153	0	0	1	907	56	19.4508609876	31.0285211881	30.7499921755	4.157
153	0	0	2	2248	140	19.4508609876	29.7306351226	29.45210611	11.843
154	0	0	1	154	9	25.2619442487	29.2823913216	28.9206497827	16.157
154	0	0	2	1495	93	25.2619442487	31.0663352586	30.7045937197	18.472
155	0	0	1	262	16	18.9670987711	29.2216862174	28.9500844978	7.559
155	0	0	2	1606	100	18.9670987711	29.6003649439	29.3287632243	11.905
156	0	0	1	484	30	13.6883252478	29.6853287128	29.4893170444	26.771
156	0	0	2	1829	114	13.6883252478	33.0683254967	32.8723138282	7.685
