event_index	pair_index	fold	layer	pixel	half_bar	ecal_time_ns	cdet_time_master_ns	cdet_time_candidate_ns	tot_ns
0	0	0	1	440	27	19.7270819669	28.1107301165	31.7197439621	14.756
0	0	0	2	1784	111	19.7270819669	27.4404455698	31.0494594154	7.527
0	1	0	1	439	27	19.7270819669	26.8920392011	30.5010530468	9.779
0	1	0	2	1785	111	19.7270819669	28.8872734063	32.4962872519	8.677
1	0	0	1	433	27	21.39563204	31.8262348325	35.7405051943	10.693
1	0	0	2	1780	111	21.39563204	31.1442068191	35.0584771809	17.842
2	0	0	1	487	30	20.2595528926	29.7193479711	33.4257758664	15.622
2	0	0	2	1832	114	20.2595528926	29.7905064357	33.496934331	10.472
3	0	0	1	580	36	19.7982929481	31.7040238217	35.326065515	11.118
3	0	0	2	1929	120	19.7982929481	33.2207415792	36.8427832725	5.464
4	0	0	1	902	56	27.2074124424	28.1886905806	33.1662097278	8.661
4	0	0	2	2244	140	27.2074124424	28.6723751575	33.6498943047	5.968
5	0	0	1	1244	77	21.5784517354	30.2565570472	34.2042737552	7.086
5	0	0	2	2594	162	21.5784517354	25.6747908624	29.6225075704	19.166
6	0	0	1	476	29	20.0188483117	33.3741748396	37.0365665128	7.181
6	0	0	2	1824	114	20.0188483117	28.5443421223	32.2067337955	6.221
7	0	0	1	478	29	21.3312401471	30.6784232683	34.5809133154	9.071
7	0	0	2	1826	114	21.3312401471	29.3786574449	33.2811474921	10.882
8	0	0	1	431	26	16.0095380137	30.0520178915	32.9809175864	10.095
8	0	0	2	1777	111	16.0095380137	30.955398247	33.8842979419	5.15
9	0	0	1	456	28	25.2688125726	28.983479912	33.6063376965	7.024
9	0	0	2	1802	112	25.2688125726	28.8249091582	33.4477669427	8.41
10	0	0	1	1229	76	21.2587750835	29.110449426	32.9996821948	11.905
10	0	0	2	2580	161	21.2587750835	27.1306957715	31.0199285402	4.063
11	0	0	1	440	27	25.0517575103	27.8584677989	32.4416159737	10.409
11	0	0	2	1784	111	25.0517575103	27.5986782418	32.1818264167	5.685
12	0	0	1	1211	75	20.1068951444	26.0388879391	29.7173875312	4.504
12	0	0	2	2561	160	20.1068951444	28.1898632322	31.8683628244	11.134
13	0	0	1	1211	75	19.761695608	32.0293075338	35.6446538472	9.134
13	0	0	2	2561	160	19.761695608	33.1999479876	36.815294301	12.283
14	0	0	1	440	27	19.0488840442	33.9409821519	37.4259216059	8.378
14	0	0	2	1787	111	19.0488840442	33.9259275952	37.4108670493	5.937
15	0	0	1	431	26	19.6695811152	34.8726869494	38.4711811769	9.055
15	0	0	2	1777	111	19.6695811152	35.350179295	38.9486735224	5.969
16	0	0	1	431	26	16.9880152085	29.762490882	32.8704002119	15.78
16	0	0	2	1779	111	16.9880152085	30.7743526724	33.8822620023	13.433
17	0	0	1	432	27	18.2814711074	29.0044056873	32.3489491153	9.465
17	0	0	2	1779	111	18.2814711074	31.134226904	34.478770332	12.189
18	0	0	1	429	26	21.5358492629	37.2945864708	41.234509177	8.378
18	0	0	2	1774	110	21.5358492629	33.5958109298	37.5357336359	11.023
19	0	0	1	1022	63	27.4544079091	26.726640503	31.7493467721	13.418
19	0	0	2	2368	148	27.4544079091	21.2616453432	26.2843516124	20.158
20	0	0	1	431	26	18.8970180409	30.3686453209	33.8258013192	9.197
20	0	0	2	1775	110	18.8970180409	31.6276087634	35.0847647617	12.645
21	0	0	1	1095	68	21.0056211796	32.4667656419	36.3096846201	5.181
21	0	0	2	2442	152	21.0056211796	34.4602091497	38.3031281278	6.85
23	0	0	1	431	26	15.5834474807	29.4537230367	32.3046706738	8.567
23	0	0	2	1779	111	15.5834474807	34.3335913884	37.1845390255	8.599
