# CDet timing versus ECal time by half-bar (PMT group)
# Four overview canvases: two seven-half-bar banks for each layer
# layer half_module bank half_bar_in_half_module global_half_bar entries fit_status p0_ns p0_err_ns p1_ns_per_ns p1_err chi2 ndf chi2_ndf probability
1 0 0 0 0 0 -1 nan nan nan nan nan 0 nan nan
1 0 0 1 1 0 -1 nan nan nan nan nan 0 nan nan
1 0 0 2 2 0 -1 nan nan nan nan nan 0 nan nan
1 0 0 3 3 15 0 54.75 11.5022 -1.2 0.484252 7.78888e-25 0 nan nan
1 0 0 4 4 298 0 32.9697 1.87255 -0.0438365 0.0749291 16.4213 2 8.21066 0.000271742
1 0 0 5 5 172 0 34.5213 1.53478 -0.0293283 0.0660117 23.1485 3 7.71615 3.76055e-05
1 0 0 6 6 593 0 31.7509 1.26116 -0.0527008 0.054958 1.75264 2 0.876318 0.416313
1 1 0 0 14 1382 0 31.258 0.729334 0.0333412 0.0297638 1.76104 3 0.587012 0.62345
1 1 0 1 15 1896 0 29.611 0.550615 0.0510152 0.0235097 1.52288 3 0.507628 0.676999
1 1 0 2 16 2763 0 26.7962 0.369378 0.178716 0.0159277 0.895236 3 0.298412 0.826577
1 1 0 3 17 1781 0 28.4359 0.505378 0.117802 0.0215922 5.62457 3 1.87486 0.131375
1 1 0 4 18 1507 0 30.586 0.498872 6.20054e-05 0.0217244 25.1961 4 6.29902 4.59425e-05
1 1 0 5 19 919 0 31.1111 0.703487 -0.0443692 0.0305092 2.08398 3 0.694659 0.555161
1 1 0 6 20 1279 0 30.4194 0.460618 0.0161814 0.0205006 4.07074 3 1.35691 0.253926
1 2 0 0 28 10308 0 28.8871 0.179402 0.00360391 0.00832852 10.0471 4 2.51178 0.0396414
1 2 0 1 29 11496 0 31.8186 0.201648 -0.163572 0.00964572 75.7825 3 25.2608 2.4626e-16
1 2 0 2 30 21316 0 28.4965 0.101615 0.0220877 0.00482036 38.229 4 9.55724 1.00506e-07
1 2 0 3 31 2035 0 25.6124 0.390918 0.114433 0.019067 22.498 3 7.49932 5.13804e-05
1 2 0 4 32 7811 0 27.6934 0.213841 -0.0213265 0.01094 40.0293 3 13.3431 1.05038e-08
1 2 0 5 33 8552 0 25.02 0.215522 0.114791 0.0109186 5.38218 3 1.79406 0.145858
1 2 0 6 34 6666 0 30.9005 0.265778 -0.0868015 0.0120152 40.5963 4 10.1491 3.25819e-08
1 3 0 0 42 0 -1 nan nan nan nan nan 0 nan nan
1 3 0 1 43 0 -1 nan nan nan nan nan 0 nan nan
1 3 0 2 44 4 0 19.354 2.51323e+08 0.514142 8.97581e+06 4.48774e-29 0 nan nan
1 3 0 3 45 129 0 27.7195 1.37559 0.15601 0.0526834 6.99089 2 3.49545 0.0303352
1 3 0 4 46 750 0 28.1624 0.867917 0.230628 0.0336795 8.23718 3 2.74573 0.041356
1 3 0 5 47 423 0 39.2061 1.84998 -0.297901 0.0739318 4.94609 2 2.47305 0.0843275
1 3 0 6 48 578 0 35.9546 1.41377 -0.158797 0.0558724 0.876939 2 0.438469 0.645023
1 4 0 0 56 3101 0 27.27 0.413142 0.246573 0.0155904 16.2761 4 4.06902 0.00267023
1 4 0 1 57 3035 0 29.4423 0.469388 0.133206 0.0181719 89.552 4 22.388 1.63937e-18
