# CDet half-bar intercept alignment at common ECal time
# reference_ecal_time_ns 22
# common_within_slope_ns_per_ns 0.00609417
# detector_reference_ns 29.6149
# layer half_bar entries mean_ecal_ns mean_cdet_ns projected_cdet_at_reference_ns intercept_error_ns valid proposed_offset_increment_ns
1 0 0 nan nan nan nan 0 0
1 1 0 nan nan nan nan 0 0
1 2 0 nan nan nan nan 0 0
1 3 4 25.1516 17.3207 17.3014 5.20971 0 0
1 4 274 25.1583 32.1866 32.1673 0.199209 1 -2.55241
1 5 158 24.6439 32.955 32.9389 0.40799 1 -3.32393
1 6 540 22.8464 30.9386 30.9335 0.205392 1 -1.31855
1 7 0 nan nan nan nan 0 0
1 8 895 23.8073 31.0667 31.0557 0.0826966 1 -1.44076
1 9 2476 23.7918 32.2882 32.2773 0.0527572 1 -2.66236
1 10 2029 22.6929 30.9346 30.9304 0.0586792 1 -1.31549
1 11 1351 24.1557 31.9792 31.9661 0.083096 1 -2.35115
1 12 601 24.2462 31.4068 31.3931 0.136921 1 -1.77821
1 13 1728 24.4988 31.8817 31.8665 0.0788351 1 -2.25154
1 14 1259 24.5863 32.0462 32.0304 0.0807731 1 -2.41552
1 15 1717 23.4395 30.6997 30.6909 0.0799446 1 -1.07596
1 16 2579 23.1494 30.9369 30.9299 0.0561526 1 -1.31497
1 17 1626 23.4922 31.1118 31.1027 0.0704078 1 -1.48782
1 18 1373 23.0791 30.5267 30.5201 0.0908174 1 -0.905196
1 19 805 23.0639 30.0631 30.0566 0.108556 1 -0.441716
1 20 1197 22.5356 30.8442 30.841 0.0816864 1 -1.22602
1 21 3717 22.1924 30.2446 30.2434 0.0442529 1 -0.628495
1 22 93 22.7094 30.365 30.3607 0.323299 0 0
1 23 1609 21.7239 29.8604 29.862 0.0894784 1 -0.247114
1 24 0 nan nan nan nan 0 0
1 25 5172 21.9549 29.7229 29.7231 0.0498134 1 -0.108215
1 26 11092 21.8379 29.8712 29.8722 0.0234886 1 -0.257256
1 27 12193 22.0189 29.8779 29.8778 0.0259679 1 -0.262825
1 28 9359 21.6206 28.8991 28.9014 0.0278496 1 0.713515
1 29 9889 20.6 28.5991 28.6076 0.0351813 1 1.00733
1 30 19365 20.9803 28.8362 28.8424 0.0175967 1 0.772521
1 31 1868 20.2893 27.637 27.6474 0.0776816 1 1.96748
1 32 6541 19.6532 27.3154 27.3298 0.0330074 1 2.28517
1 33 7714 19.7694 27.1928 27.2064 0.0332947 1 2.40851
1 34 5242 21.6415 29.0775 29.0797 0.0471229 1 0.535274
1 35 3292 24.0272 31.5813 31.569 0.0720484 1 -1.95406
1 36 4394 20.8118 27.8966 27.9039 0.0403995 1 1.71104
1 37 4046 18.8267 27.2833 27.3027 0.0510984 1 2.31227
1 38 117 18.1942 26.549 26.5722 0.595992 1 3.04273
1 39 0 nan nan nan nan 0 0
1 40 0 nan nan nan nan 0 0
1 41 0 nan nan nan nan 0 0
1 42 0 nan nan nan nan 0 0
1 43 0 nan nan nan nan 0 0
1 44 0 nan nan nan nan 0 0
1 45 103 26.305 33.0876 33.0613 0.498185 1 -3.44641
1 46 696 25.8371 34.3773 34.3539 0.106627 1 -4.73902
1 47 370 25.4651 31.6614 31.6402 0.234511 1 -2.02532
1 48 541 25.4067 32.0269 32.0061 0.188114 1 -2.39121
