# CDet half-bar intercept alignment at common ECal time
# reference_ecal_time_ns 22
# common_within_slope_ns_per_ns -6.10167e-05
# detector_reference_ns 29.6304
# layer half_bar entries mean_ecal_ns mean_cdet_ns projected_cdet_at_reference_ns intercept_error_ns valid proposed_offset_increment_ns
1 0 0 nan nan nan nan 0 0
1 1 0 nan nan nan nan 0 0
1 2 0 nan nan nan nan 0 0
1 3 4 25.1516 17.3217 17.3218 5.2104 0 0
1 4 274 25.1583 29.6315 29.6317 0.199351 1 -0.00129485
1 5 157 24.6362 29.7473 29.7475 0.394629 1 -0.117085
1 6 538 22.8338 29.4597 29.4597 0.204215 1 0.170666
1 7 0 nan nan nan nan 0 0
1 8 896 23.8051 29.6325 29.6326 0.082621 1 -0.00221225
1 9 2475 23.7926 29.6436 29.6437 0.0526719 1 -0.0133231
1 10 2028 22.6923 29.6287 29.6288 0.0581294 1 0.00159795
1 11 1350 24.153 29.647 29.6471 0.0822846 1 -0.0167439
1 12 601 24.2462 29.6335 29.6337 0.13693 1 -0.00330103
1 13 1728 24.4988 29.639 29.6392 0.0787915 1 -0.0087798
1 14 1259 24.5863 29.637 29.6371 0.0808046 1 -0.00677517
1 15 1718 23.4434 29.6467 29.6468 0.0797188 1 -0.0164211
1 16 2578 23.1499 29.641 29.6411 0.0559036 1 -0.0107197
1 17 1627 23.494 29.6369 29.637 0.0703562 1 -0.00662562
1 18 1371 23.0745 29.6648 29.6649 0.0882643 1 -0.034536
1 19 804 23.0668 29.6277 29.6277 0.108578 1 0.0026502
1 20 1197 22.5377 29.6751 29.6751 0.0836973 1 -0.0447722
1 21 3715 22.1935 29.6308 29.6308 0.0442732 1 -0.000432451
1 22 94 22.6775 30.3164 30.3165 0.325713 0 0
1 23 1609 21.7239 29.6314 29.6313 0.0894757 1 -0.000970229
1 24 0 nan nan nan nan 0 0
1 25 5172 21.9549 29.6329 29.6329 0.04981 1 -0.00256232
1 26 11095 21.8377 29.6356 29.6356 0.0236195 1 -0.00520671
1 27 12194 22.0182 29.6397 29.6397 0.0259888 1 -0.00937311
1 28 9357 21.6206 29.6306 29.6305 0.0278556 1 -0.00015287
1 29 9897 20.6006 29.6612 29.6611 0.0354128 1 -0.0307304
1 30 19367 20.9806 29.6263 29.6262 0.0177381 1 0.00418394
1 31 1869 20.2935 29.5876 29.5875 0.0802613 1 0.0428964
1 32 6543 19.6543 29.6214 29.6213 0.0333649 1 0.00912047
1 33 7716 19.7683 29.6237 29.6236 0.0330022 1 0.00676288
1 34 5240 21.6413 29.63 29.6299 0.0472472 1 0.000440246
1 35 3298 24.0268 29.6491 29.6492 0.0723676 1 -0.0188073
1 36 4393 20.8089 29.6192 29.6191 0.0405778 1 0.0112776
1 37 4047 18.8267 29.6204 29.6202 0.051474 1 0.0101755
1 38 117 18.1942 29.6275 29.6272 0.595935 1 0.00312891
1 39 0 nan nan nan nan 0 0
1 40 0 nan nan nan nan 0 0
1 41 0 nan nan nan nan 0 0
1 42 0 nan nan nan nan 0 0
1 43 0 nan nan nan nan 0 0
1 44 0 nan nan nan nan 0 0
1 45 102 26.3323 29.3206 29.3209 0.441152 1 0.309464
1 46 695 25.8367 29.6348 29.635 0.106802 1 -0.00463462
1 47 371 25.4586 29.5999 29.6001 0.237234 1 0.0302836
