population	entries	events
complete_positive_tot_pulses	8401907	2661693
calibration_valid	8368147	2649972
broad_quality_cumulative	6727343	2493517
ecal_eligible_cumulative	6703114	2485020
new_good_pulse_candidates	1466298	1024499
new_candidates_in_two_layer_events	647242	277256
unique_accepted_pmts	1463983	1024499
unique_accepted_pmts_in_two_layer_events	646411	277256
two_layer_accepted_pulses_with_legacy_pmt	564258	273627
accepted_pulses_with_legacy_hit_pmt	1274542	928485
legacy_hit_records	7178743	2570845
legacy_pmts_with_accepted_pulse	1272771	928485
exact_legacy_hallgoodle_decision	501556	218870
difference_no_legacy_hit	82984	0
difference_legacy_le	0	0
difference_legacy_tot	168	0
difference_legacy_multiplicity	0	0
difference_legacy_x	4113	0
difference_legacy_y	0	0
difference_legacy_event_layers	64849	0
new_pulses_passing_legacy_decision	495128	0
common_event_pmts	494601	0
new_only_event_pmts	151810	0
legacy_only_event_pmts	6955	0
legacy_only_no_complete_pulse	0	0
legacy_only_calibration	0	0
legacy_only_broad	0	0
legacy_only_ecal	0	0
legacy_only_spatial	4421	0
legacy_only_new_event_layers	2534	0
