# CDet half-bar intercept alignment at common ECal time
# reference_ecal_time_ns 22
# common_within_slope_ns_per_ns -0.000309875
# detector_reference_ns 28.4241
# layer half_bar entries mean_ecal_ns mean_cdet_ns projected_cdet_at_reference_ns intercept_error_ns valid proposed_offset_increment_ns
1 0 0 nan nan nan nan 0 0
1 1 0 nan nan nan nan 0 0
1 2 0 nan nan nan nan 0 0
1 3 11 24.4029 26.9497 26.9505 1.43664 0 0
1 4 266 25.1195 28.4071 28.4081 0.154025 1 0.0159668
1 5 146 24.3581 29.0398 29.0405 0.298962 1 -0.616479
1 6 480 22.7865 28.4183 28.4185 0.132011 1 0.00555947
1 7 0 nan nan nan nan 0 0
1 8 999 23.6947 28.4113 28.4118 0.0680755 1 0.0122329
1 9 2345 23.7521 28.4339 28.4344 0.0456645 1 -0.0103649
1 10 2088 22.8552 28.4216 28.4219 0.0491725 1 0.00216391
1 11 1261 24.0634 28.4431 28.4438 0.0567698 1 -0.019687
1 12 532 24.329 28.5305 28.5313 0.110934 1 -0.107194
1 13 1551 24.4278 28.43 28.4308 0.0760986 1 -0.00671612
1 14 1130 24.4992 28.4515 28.4523 0.0673136 1 -0.0282097
1 15 1507 23.575 28.4353 28.4358 0.0724613 1 -0.0117365
1 16 2377 23.1315 28.4176 28.4179 0.0531867 1 0.00612006
1 17 1579 23.4064 28.4341 28.4345 0.0582076 1 -0.0104394
1 18 1276 23.0811 28.4288 28.4292 0.0714419 1 -0.00510937
1 19 780 22.8627 28.4131 28.4134 0.0830763 1 0.0106523
1 20 1025 22.4661 28.4558 28.456 0.0699356 1 -0.0318834
1 21 3326 22.2296 28.4119 28.412 0.0381423 1 0.0120739
1 22 92 22.8364 29.7759 29.7761 0.33331 0 0
1 23 1437 21.829 28.4502 28.4501 0.0783478 1 -0.0260466
1 24 0 nan nan nan nan 0 0
1 25 5304 21.9189 28.4223 28.4223 0.0440601 1 0.00179499
1 26 10233 21.8604 28.4358 28.4357 0.0265546 1 -0.0116722
1 27 9428 22.0293 28.4178 28.4178 0.0242696 1 0.00630117
1 28 8405 21.5326 28.3928 28.3926 0.0255287 1 0.031423
1 29 10298 20.6627 28.4292 28.4288 0.0335119 1 -0.00473496
1 30 19405 20.9776 28.4063 28.406 0.0152803 1 0.0180346
1 31 1684 20.212 28.3375 28.3369 0.0659004 1 0.0871372
1 32 6016 19.647 28.3472 28.3465 0.0300162 1 0.0775891
1 33 7032 19.7467 28.3389 28.3382 0.0280641 1 0.0858343
1 34 6080 21.6802 28.3762 28.3761 0.0386279 1 0.0479916
1 35 3077 23.6301 28.4569 28.4574 0.055373 1 -0.0333463
1 36 4905 20.5591 28.3407 28.3403 0.0340488 1 0.0837791
1 37 3938 18.9948 28.33 28.329 0.0437176 1 0.0950423
1 38 173 18.1924 28.4169 28.4157 0.469902 1 0.00835857
1 39 1 20.986 30.3195 30.3192 nan 0 0
1 40 0 nan nan nan nan 0 0
1 41 0 nan nan nan nan 0 0
1 42 0 nan nan nan nan 0 0
1 43 0 nan nan nan nan 0 0
1 44 5 25.7874 31.4843 31.4854 3.03027 0 0
1 45 104 26.2989 28.4806 28.4819 0.358167 1 -0.0578175
1 46 644 25.7417 28.5201 28.5212 0.0989801 1 -0.0971611
1 47 323 25.267 28.8127 28.8137 0.210569 1 -0.389595
