# CDet half-bar intercept alignment at common ECal time
# reference_ecal_time_ns 22
# common_within_slope_ns_per_ns 0.00127071
# detector_reference_ns 29.3989
# layer half_bar entries mean_ecal_ns mean_cdet_ns projected_cdet_at_reference_ns intercept_error_ns valid proposed_offset_increment_ns
1 0 0 nan nan nan nan 0 0
1 1 0 nan nan nan nan 0 0
1 2 0 nan nan nan nan 0 0
1 3 10 24.7935 26.4514 26.4478 0.468171 0 0
1 4 266 25.1404 29.3719 29.3679 0.184063 1 0.030998
1 5 154 24.3084 30.5409 30.538 0.319687 1 -1.13908
1 6 514 22.8256 29.8388 29.8377 0.182161 1 -0.438848
1 7 0 nan nan nan nan 0 0
1 8 998 23.697 29.7028 29.7006 0.0672553 1 -0.301748
1 9 2348 23.7486 29.3775 29.3753 0.0455567 1 0.0236184
1 10 2087 22.8598 29.3641 29.363 0.0492196 1 0.0359135
1 11 1263 24.0601 29.3024 29.2998 0.0644867 1 0.0991161
1 12 534 24.3478 29.216 29.2131 0.121858 1 0.185815
1 13 1554 24.428 29.1721 29.169 0.0745249 1 0.229844
1 14 1145 24.506 29.3638 29.3606 0.0687753 1 0.0382532
1 15 1512 23.5804 29.2047 29.2027 0.0741251 1 0.196196
1 16 2373 23.1287 29.3726 29.3712 0.0507181 1 0.0277005
1 17 1580 23.4084 29.4104 29.4086 0.0626418 1 -0.0097484
1 18 1280 23.0725 29.3905 29.3892 0.0777037 1 0.00970215
1 19 782 22.8924 29.4304 29.4293 0.0995017 1 -0.0304096
1 20 1000 22.4835 29.1655 29.1648 0.0740802 1 0.234029
1 21 3327 22.2274 29.1748 29.1745 0.0386232 1 0.224402
1 22 91 22.8088 30.1339 30.1328 0.352365 0 0
1 23 1437 21.825 29.1934 29.1936 0.0827361 1 0.20529
1 24 0 nan nan nan nan 0 0
1 25 5305 21.9174 29.3393 29.3394 0.0441931 1 0.0594407
1 26 10003 21.8695 29.5827 29.5829 0.0271908 1 -0.184033
1 27 9435 22.0277 29.0509 29.0509 0.024487 1 0.347999
1 28 8415 21.535 29.3618 29.3624 0.0251883 1 0.0364536
1 29 10317 20.6621 29.4354 29.4371 0.0328636 1 -0.0382693
1 30 19440 20.9806 29.5429 29.5442 0.0153232 1 -0.14533
1 31 1688 20.2073 29.4425 29.4448 0.0643535 1 -0.045896
1 32 6015 19.6461 28.9662 28.9692 0.0297505 1 0.429676
1 33 7037 19.7439 29.3805 29.3834 0.0300272 1 0.0154896
1 34 6105 21.6821 29.2225 29.2229 0.0387424 1 0.176
1 35 3066 23.6329 29.5623 29.5603 0.0658566 1 -0.161379
1 36 4911 20.565 29.5049 29.5067 0.0338659 1 -0.107803
1 37 3938 18.9976 29.3925 29.3963 0.0463447 1 0.00254369
1 38 168 18.2006 32.1625 32.1673 0.455401 1 -2.76848
1 39 1 20.986 31.1969 31.1982 nan 0 0
1 40 0 nan nan nan nan 0 0
1 41 0 nan nan nan nan 0 0
1 42 0 nan nan nan nan 0 0
1 43 0 nan nan nan nan 0 0
1 44 5 25.7874 32.3674 32.3626 3.03417 0 0
1 45 108 26.2918 29.1816 29.1762 0.344217 1 0.222676
1 46 640 25.7394 29.1498 29.1451 0.104374 1 0.253787
1 47 329 25.3298 29.7405 29.7362 0.218967 1 -0.337373
