energy_center_gev,half_width_gev,energy_min_gev,energy_max_gev,ecal_events,events_with_selected_pair,selected_pairs,event_fraction,pairs_per_event,absolute_event_retention
3.75,0.05,3.7,3.8,821,425,717,0.517661,0.873325,0.0332655
3.75,0.1,3.65,3.85,1628,807,1374,0.4957,0.84398,0.0631653
3.75,0.15,3.6,3.9,2442,1182,1988,0.484029,0.814087,0.0925172
3.75,0.2,3.55,3.95,3240,1563,2619,0.482407,0.808333,0.122339
3.75,0.25,3.5,4,4074,1975,3286,0.484782,0.806578,0.154587
3.75,0.3,3.45,4.05,4959,2381,3950,0.480137,0.796532,0.186365
3.75,0.35,3.4,4.1,5751,2777,4616,0.482873,0.802643,0.217361
3.75,0.4,3.35,4.15,6607,3197,5320,0.483881,0.805207,0.250235
3.75,0.45,3.3,4.2,7444,3595,5995,0.482939,0.805347,0.281387
3.75,0.5,3.25,4.25,8309,4013,6701,0.48297,0.806475,0.314105
3.75,0.55,3.2,4.3,9162,4445,7416,0.485156,0.80943,0.347918
3.75,0.6,3.15,4.35,10054,4869,8115,0.484285,0.807141,0.381105
3.75,0.65,3.1,4.4,10932,5312,8850,0.485913,0.80955,0.41578
3.75,0.7,3.05,4.45,11836,5757,9561,0.486397,0.80779,0.450611
3.75,0.75,3,4.5,12776,6215,10361,0.486459,0.810974,0.486459
