half_width_ns,ecal_energy_events,events_with_selected_pair,selected_pairs,event_fraction,pairs_per_ecal_event
0.5,765,426,710,0.556863,0.928105
1,1509,841,1359,0.557323,0.900596
1.5,2219,1212,1970,0.546192,0.887787
2,2897,1575,2577,0.543666,0.889541
2.5,3561,1938,3158,0.544229,0.88683
3,4235,2283,3719,0.539079,0.878158
3.5,4902,2622,4296,0.534884,0.876377
4,5585,2963,4832,0.530528,0.865175
4.5,6231,3287,5347,0.527524,0.858129
5,6905,3629,5928,0.525561,0.858508
5.5,7540,3921,6423,0.520027,0.851857
6,8166,4215,6922,0.516165,0.847661
6.5,8778,4495,7369,0.512076,0.839485
7,9411,4809,7892,0.510998,0.838593
7.5,9957,5051,8287,0.507281,0.832279
8,10550,5301,8696,0.502464,0.824265
8.5,11112,5561,9183,0.50045,0.826404
9,11655,5772,9557,0.495238,0.819991
9.5,12216,6014,10007,0.492305,0.819172
10,12776,6215,10361,0.486459,0.810974
