dt_max_ns,selected_pair_events,selected_pairs,additional_events,additional_pairs,conditional_fraction,pairs_per_selected_event,additional_pairs_per_additional_event,recovered_timing_mean_ns,recovered_timing_rms_ns,recovered_x_mean_m,recovered_x_rms_m
5,12557,19899,-4015,-12446,0.471465,1.58469,0,0,0,0,0
5.5,12969,20909,-3603,-11436,0.486934,1.61223,0,0,0,0,0
6,13335,21837,-3237,-10508,0.500676,1.63757,0,0,0,0,0
6.5,13649,22704,-2923,-9641,0.512465,1.66342,0,0,0,0,0
7,13933,23477,-2639,-8868,0.523128,1.68499,0,0,0,0,0
7.5,14210,24209,-2362,-8136,0.533529,1.70366,0,0,0,0,0
8,14463,24904,-2109,-7441,0.543028,1.72191,0,0,0,0,0
8.5,14655,25553,-1917,-6792,0.550237,1.74364,0,0,0,0,0
9,14866,26170,-1706,-6175,0.558159,1.76039,0,0,0,0,0
9.5,15065,26765,-1507,-5580,0.56563,1.77663,0,0,0,0,0
10,15262,27401,-1310,-4944,0.573027,1.79537,0,0,0,0,0
10.5,15448,28000,-1124,-4345,0.580011,1.81253,0,0,0,0,0
11,15601,28526,-971,-3819,0.585755,1.82847,0,0,0,0,0
11.5,15755,29086,-817,-3259,0.591537,1.84614,0,0,0,0,0
12,15897,29604,-675,-2741,0.596869,1.86224,0,0,0,0,0
12.5,16036,30116,-536,-2229,0.602088,1.87802,0,0,0,0,0
13,16151,30593,-421,-1752,0.606405,1.89419,0,0,0,0,0
13.5,16260,31034,-312,-1311,0.610498,1.90861,0,0,0,0,0
14,16366,31472,-206,-873,0.614478,1.92301,0,0,0,0,0
14.5,16479,31926,-93,-419,0.61872,1.93737,0,0,0,0,0
15,16572,32345,0,0,0.622212,1.95179,0,0,0,0,0
15.5,16671,32763,99,418,0.625929,1.96527,4.22222,-30.899,4.58632,-0.00126962,0.0418232
16,16755,33164,183,819,0.629083,1.97935,4.47541,-31.3819,4.02801,-0.00214645,0.0420866
16.5,16837,33536,265,1191,0.632162,1.9918,4.49434,-30.9459,4.32075,-0.0028451,0.0427695
17,16921,33922,349,1577,0.635316,2.00473,4.51862,-30.8628,4.04809,-0.00395971,0.0417184
17.5,16986,34277,414,1932,0.637756,2.01796,4.66667,-30.844,4.02842,-0.00467763,0.0424271
18,17056,34672,484,2327,0.640384,2.03283,4.80785,-30.7935,4.05712,-0.00528151,0.0427594
18.5,17110,35004,538,2659,0.642412,2.04582,4.94238,-30.8825,4.04316,-0.00444452,0.0431193
19,17171,35347,599,3002,0.644702,2.05853,5.01169,-30.8183,4.05856,-0.00514108,0.0434077
19.5,17217,35658,645,3313,0.646429,2.07109,5.13643,-30.8079,4.04696,-0.00542858,0.0433353
20,17261,35986,689,3641,0.648081,2.08482,5.28447,-30.7726,4.02394,-0.00534758,0.0433504
20.5,17304,36322,732,3977,0.649696,2.09905,5.43306,-30.8181,3.96371,-0.00503279,0.0435944
21,17341,36649,769,4304,0.651085,2.11343,5.59688,-30.8463,3.92294,-0.00518642,0.0435184
21.5,17385,36951,813,4606,0.652737,2.12545,5.66544,-30.8684,3.92488,-0.00523868,0.0435766
22,17427,37233,855,4888,0.654314,2.13651,5.71696,-30.8042,3.96613,-0.00514505,0.0435364
22.5,17464,37496,892,5151,0.655703,2.14705,5.77466,-30.8635,3.93512,-0.00476201,0.0437997
23,17498,37760,926,5415,0.65698,2.15796,5.84773,-30.8658,3.8954,-0.00441419,0.0440582
23.5,17540,38042,968,5697,0.658557,2.16887,5.88533,-30.9059,3.84865,-0.00472804,0.0439192
24,17563,38264,991,5919,0.65942,2.17867,5.97275,-30.8606,3.83587,-0.00469871,0.0441743
24.5,17586,38480,1014,6135,0.660284,2.1881,6.0503,-30.8634,3.81814,-0.00444285,0.044268
25,17616,38709,1044,6364,0.66141,2.19738,6.09579,-30.8539,3.79693,-0.00475536,0.0442462
25.5,17639,38915,1067,6570,0.662274,2.20619,6.15745,-30.8666,3.78205,-0.00422719,0.0443684
26,17662,39117,1090,6772,0.663137,2.21475,6.21284,-30.8407,3.76165,-0.00458002,0.0444717
26.5,17676,39316,1104,6971,0.663663,2.22426,6.31431,-30.8535,3.757,-0.00465994,0.0445559
27,17698,39530,1126,7185,0.664489,2.23359,6.38099,-30.8624,3.75044,-0.00480024,0.0444234
27.5,17719,39735,1147,7390,0.665277,2.24251,6.44289,-30.8638,3.74131,-0.00490996,0.0443275
28,17735,39936,1163,7591,0.665878,2.25182,6.52709,-30.8939,3.74209,-0.00497051,0.0443044
28.5,17745,40109,1173,7764,0.666254,2.2603,6.61893,-30.9024,3.72197,-0.00495702,0.0442639
29,17756,40291,1184,7946,0.666667,2.26915,6.71115,-30.9223,3.67602,-0.00492195,0.0442935
29.5,17768,40433,1196,8088,0.667117,2.27561,6.76254,-30.9184,3.65776,-0.00506316,0.0442681
30,17779,40587,1207,8242,0.66753,2.28286,6.8285,-30.9223,3.65147,-0.00496693,0.0443788
