dy_max_m,selected_pair_events,additional_events,conditional_fraction
0.08,15812,0,0.593677
0.09,15812,0,0.593677
0.1,15812,0,0.593677
0.11,15812,0,0.593677
0.12,15812,0,0.593677
0.13,15812,0,0.593677
0.14,15812,0,0.593677
0.15,15812,0,0.593677
0.16,15812,0,0.593677
0.17,15812,0,0.593677
0.18,15812,0,0.593677
0.19,15812,0,0.593677
0.2,15812,0,0.593677
0.21,15812,0,0.593677
0.22,15812,0,0.593677
0.23,15812,0,0.593677
0.24,15812,0,0.593677
0.25,15812,0,0.593677
0.26,15812,0,0.593677
0.27,15812,0,0.593677
0.28,15812,0,0.593677
0.29,15812,0,0.593677
0.3,15812,0,0.593677
0.31,15812,0,0.593677
0.32,15812,0,0.593677
0.33,15812,0,0.593677
0.34,15812,0,0.593677
0.35,15812,0,0.593677
0.36,15812,0,0.593677
0.37,15812,0,0.593677
0.38,15812,0,0.593677
0.39,15812,0,0.593677
0.4,15812,0,0.593677
0.41,15812,0,0.593677
0.42,15812,0,0.593677
0.43,15812,0,0.593677
0.44,15812,0,0.593677
0.45,15829,17,0.594316
0.46,15829,17,0.594316
0.47,15829,17,0.594316
0.48,15829,17,0.594316
0.49,15829,17,0.594316
0.5,15829,17,0.594316
0.51,15829,17,0.594316
0.52,16583,771,0.622625
0.53,16583,771,0.622625
0.54,16583,771,0.622625
0.55,16583,771,0.622625
0.56,16583,771,0.622625
0.57,16583,771,0.622625
0.58,16583,771,0.622625
0.59,16583,771,0.622625
0.6,16585,773,0.6227
0.61,16585,773,0.6227
0.62,16585,773,0.6227
0.63,16585,773,0.6227
0.64,16585,773,0.6227
0.65,16585,773,0.6227
0.66,16585,773,0.6227
0.67,16585,773,0.6227
0.68,16585,773,0.6227
0.69,16585,773,0.6227
0.7,16585,773,0.6227
0.71,16585,773,0.6227
0.72,16585,773,0.6227
0.73,16585,773,0.6227
0.74,16585,773,0.6227
0.75,16585,773,0.6227
0.76,16585,773,0.6227
0.77,16585,773,0.6227
0.78,16585,773,0.6227
0.79,16585,773,0.6227
0.8,16585,773,0.6227
0.81,16585,773,0.6227
0.82,16585,773,0.6227
0.83,16585,773,0.6227
0.84,16585,773,0.6227
0.85,16585,773,0.6227
0.86,16585,773,0.6227
0.87,16585,773,0.6227
0.88,16585,773,0.6227
0.89,16585,773,0.6227
0.9,16585,773,0.6227
0.91,16585,773,0.6227
0.92,16585,773,0.6227
0.93,16585,773,0.6227
0.94,16585,773,0.6227
0.95,16585,773,0.6227
0.96,16585,773,0.6227
0.97,16585,773,0.6227
0.98,16585,773,0.6227
0.99,16585,773,0.6227
1,16585,773,0.6227
1.01,16585,773,0.6227
1.02,16585,773,0.6227
1.03,16585,773,0.6227
1.04,16585,773,0.6227
1.05,16585,773,0.6227
1.06,16585,773,0.6227
1.07,16585,773,0.6227
1.08,16585,773,0.6227
1.09,16585,773,0.6227
1.1,16585,773,0.6227
1.11,16585,773,0.6227
1.12,16585,773,0.6227
1.13,16585,773,0.6227
1.14,16585,773,0.6227
1.15,16585,773,0.6227
1.16,16585,773,0.6227
1.17,16585,773,0.6227
1.18,16585,773,0.6227
1.19,16585,773,0.6227
1.2,16585,773,0.6227
1.21,16585,773,0.6227
1.22,16585,773,0.6227
1.23,16585,773,0.6227
1.24,16585,773,0.6227
1.25,16585,773,0.6227
1.26,16585,773,0.6227
1.27,16585,773,0.6227
1.28,16585,773,0.6227
1.29,16585,773,0.6227
1.3,16585,773,0.6227
1.31,16585,773,0.6227
1.32,16585,773,0.6227
1.33,16585,773,0.6227
1.34,16585,773,0.6227
1.35,16585,773,0.6227
1.36,16585,773,0.6227
1.37,16585,773,0.6227
1.38,16585,773,0.6227
1.39,16585,773,0.6227
1.4,16585,773,0.6227
1.41,16585,773,0.6227
1.42,16585,773,0.6227
1.43,16585,773,0.6227
1.44,16585,773,0.6227
1.45,16585,773,0.6227
1.46,16585,773,0.6227
1.47,16585,773,0.6227
1.48,16585,773,0.6227
1.49,16585,773,0.6227
1.5,16585,773,0.6227
1.51,16585,773,0.6227
1.52,16585,773,0.6227
1.53,16585,773,0.6227
1.54,16585,773,0.6227
1.55,16585,773,0.6227
1.56,16585,773,0.6227
1.57,16585,773,0.6227
1.58,16585,773,0.6227
1.59,16585,773,0.6227
1.6,16585,773,0.6227
1.61,16585,773,0.6227
1.62,16585,773,0.6227
1.63,16585,773,0.6227
1.64,16585,773,0.6227
1.65,16585,773,0.6227
1.66,16585,773,0.6227
1.67,16585,773,0.6227
1.68,16585,773,0.6227
1.69,16585,773,0.6227
1.7,16585,773,0.6227
1.71,16585,773,0.6227
1.72,16585,773,0.6227
1.73,16585,773,0.6227
1.74,16585,773,0.6227
1.75,16585,773,0.6227
1.76,16585,773,0.6227
1.77,16585,773,0.6227
1.78,16585,773,0.6227
1.79,16585,773,0.6227
1.8,16585,773,0.6227
1.81,16585,773,0.6227
1.82,16585,773,0.6227
1.83,16585,773,0.6227
1.84,16585,773,0.6227
1.85,16585,773,0.6227
1.86,16585,773,0.6227
1.87,16585,773,0.6227
1.88,16585,773,0.6227
1.89,16585,773,0.6227
1.9,16585,773,0.6227
1.91,16585,773,0.6227
1.92,16585,773,0.6227
1.93,16585,773,0.6227
1.94,16585,773,0.6227
1.95,16585,773,0.6227
1.96,16585,773,0.6227
1.97,16585,773,0.6227
1.98,16585,773,0.6227
1.99,16585,773,0.6227
2,16585,773,0.6227
