global_halfbar,layer,halfbar_in_layer,instrumented_pixels,complete_min,complete_median,complete_max,complete_max_fraction,good_min,good_median,good_max,good_max_fraction,coherent_low_complete,coherent_low_good
0,1,0,14,8732,46585.5,63872,5.3548,7485,41813,57170,5.68008,0,0
1,1,1,14,5481,34519.5,64185,5.38104,4959,30920,55787,5.54267,0,0
2,1,2,14,0,26846.5,59088,4.95372,0,22160,50667,5.03398,0,0
3,1,3,14,416,32446.5,64513,5.40853,383,28710,56228,5.58649,0,0
4,1,4,14,5825,20095,64079,5.37215,5197,17683,57492,5.71207,0,0
5,1,5,14,0,10061,48791,4.09046,0,7106.5,41231,4.09647,0,0
6,1,6,14,0,15870,37146,3.11419,0,13569,34531,3.4308,0,0
7,1,7,14,0,0,0,0,0,0,0,0,1,1
8,1,8,14,1916,23823.5,61544,5.15962,1623,20520,55482,5.51237,0,0
9,1,9,14,12,21633,67832,5.68679,9,18817,60170,5.97814,0,0
10,1,10,14,150,18835.5,62686,5.25537,135,16136,53683,5.33363,0,0
11,1,11,14,705,2421,62201,5.2147,602,2104,55741,5.5381,0,0
12,1,12,14,4271,12366.5,64917,5.4424,3907,10909.5,58202,5.78261,0,0
13,1,13,14,9058,29582,55321,4.63791,7438,26903,51257,5.0926,0,0
14,1,14,14,9721,26929,47375,3.97175,8094,23382,43690,4.34078,0,0
15,1,15,14,3483,22163.5,66507,5.5757,2959,18784.5,59459,5.9075,0,0
16,1,16,14,308,8452.5,66541,5.57855,290,7422,59492,5.91078,0,0
17,1,17,14,135,10443.5,62140,5.20959,124,8834,56429,5.60646,0,0
18,1,18,14,4777,20934.5,59197,4.96286,4254,18681.5,53885,5.3537,0,0
19,1,19,14,0,9996,68191,5.71688,0,8713.5,61907,6.15072,0,0
20,1,20,14,3467,33369,58033,4.86527,2525,29291.5,52922,5.25802,0,0
21,1,21,14,15930,43025,66223,5.55189,13385,37423,59106,5.87243,0,0
22,1,22,14,828,3638,46907,3.93251,594,2618,36788,3.65504,0,0
23,1,23,14,3222,9138.5,60569,5.07788,2733,7069.5,54090,5.37407,0,0
24,1,24,14,0,0,329,0.0275822,0,0,273,0.0271237,1,1
25,1,25,14,0,25165,65910,5.52565,0,18947,57647,5.72747,0,0
26,1,26,14,0,3976,91699,7.68771,0,3609,75415,7.4928,0,0
27,1,27,14,7958,52703,66722,5.59373,6098,47382,58702,5.83229,0,0
28,1,28,14,0,22679.5,56866,4.76744,0,18134.5,50663,5.03358,0,0
29,1,29,14,0,7577.5,61225,5.13288,0,6111,53438,5.30929,0,0
30,1,30,14,302,3725,21236,1.78035,186,3179,18330,1.82116,0,0
31,1,31,14,625,3126.5,12748,1.06875,448,2088,11438,1.13641,0,0
32,1,32,14,1728,17473,57476,4.81858,1181,13904.5,49674,4.93532,0,0
33,1,33,14,1468,10489.5,54510,4.56992,1211,8947,48382,4.80695,0,0
