half_width_ns,ecal_energy_events,events_with_selected_pair,selected_pairs,event_fraction,pairs_per_ecal_event
0.5,1420,807,1192,0.56831,0.839437
1,2901,1639,2472,0.564978,0.85212
1.5,4304,2407,3671,0.559247,0.852928
2,5727,3150,4843,0.550026,0.845643
2.5,7125,3911,6024,0.548912,0.845474
3,8564,4635,7130,0.541219,0.832555
3.5,9931,5360,8237,0.539724,0.829423
4,11211,6047,9271,0.539381,0.826956
4.5,12571,6776,10383,0.539018,0.825949
5,13908,7451,11456,0.535735,0.823699
5.5,15274,8133,12530,0.532473,0.820348
6,16587,8781,13523,0.52939,0.815277
6.5,17827,9389,14480,0.526673,0.812251
7,19120,10011,15462,0.523588,0.808682
7.5,20369,10612,16402,0.520988,0.805243
8,21656,11221,17380,0.518147,0.802549
8.5,22937,11800,18284,0.514453,0.79714
9,24187,12331,19188,0.509819,0.793319
9.5,25424,12871,20040,0.506254,0.788232
10,26634,13385,20856,0.502553,0.783059
