energy_center_gev,half_width_gev,energy_min_gev,energy_max_gev,ecal_events,events_with_selected_pair,selected_pairs,event_fraction,pairs_per_event,absolute_event_retention
3.75,0.05,3.7,3.8,2267,1474,2942,0.650199,1.29775,0.0553428
3.75,0.1,3.65,3.85,4489,2865,5706,0.638227,1.27111,0.107569
3.75,0.15,3.6,3.9,6647,4200,8306,0.631864,1.24959,0.157693
3.75,0.2,3.55,3.95,8680,5492,10942,0.632719,1.2606,0.206203
3.75,0.25,3.5,4,10724,6796,13496,0.633719,1.25849,0.255163
3.75,0.3,3.45,4.05,12759,8083,16041,0.633514,1.25723,0.303484
3.75,0.35,3.4,4.1,14586,9206,18199,0.631153,1.2477,0.345648
3.75,0.4,3.35,4.15,16336,10269,20197,0.628612,1.23635,0.38556
3.75,0.45,3.3,4.2,18008,11303,22274,0.627665,1.23689,0.424382
3.75,0.5,3.25,4.25,19717,12337,24351,0.625704,1.23503,0.463205
3.75,0.55,3.2,4.3,21245,13275,26070,0.624853,1.22711,0.498423
3.75,0.6,3.15,4.35,22846,14277,27995,0.624923,1.22538,0.536044
3.75,0.65,3.1,4.4,24278,15156,29655,0.624269,1.22148,0.569047
3.75,0.7,3.05,4.45,25468,15867,31021,0.623017,1.21804,0.595742
3.75,0.75,3,4.5,26634,16572,32345,0.622212,1.21443,0.622212
