global_halfbar,layer,halfbar_in_layer,suppressed,projected_intersections
0,1,0,0,0
1,1,1,0,0
2,1,2,0,0
3,1,3,0,5
4,1,4,0,20
5,1,5,0,18
6,1,6,0,37
7,1,7,1,26
8,1,8,0,15
9,1,9,0,65
10,1,10,0,62
11,1,11,0,201
12,1,12,0,44
13,1,13,0,150
14,1,14,0,329
15,1,15,0,399
16,1,16,0,83
17,1,17,0,294
18,1,18,0,40
19,1,19,0,52
20,1,20,0,61
21,1,21,0,64
22,1,22,0,50
23,1,23,0,111
24,1,24,1,557
25,1,25,0,1261
26,1,26,0,1271
27,1,27,0,2081
28,1,28,0,1999
29,1,29,0,873
30,1,30,0,1165
31,1,31,0,1685
32,1,32,0,1522
33,1,33,0,790
34,1,34,0,239
35,1,35,0,740
36,1,36,0,560
37,1,37,0,1328
38,1,38,0,23
39,1,39,0,0
40,1,40,0,0
41,1,41,0,0
42,1,42,0,0
43,1,43,0,0
44,1,44,0,0
45,1,45,0,18
46,1,46,0,39
47,1,47,0,22
48,1,48,0,65
49,1,49,0,73
50,1,50,0,15
51,1,51,0,39
52,1,52,0,74
53,1,53,0,53
54,1,54,0,119
55,1,55,0,40
56,1,56,0,82
57,1,57,0,199
58,1,58,0,68
59,1,59,0,50
60,1,60,0,46
61,1,61,0,32
62,1,62,0,20
63,1,63,0,46
64,1,64,0,134
65,1,65,0,84
66,1,66,0,216
67,1,67,0,1015
68,1,68,0,292
69,1,69,0,362
70,1,70,1,624
71,1,71,0,477
72,1,72,0,287
73,1,73,0,394
74,1,74,0,434
75,1,75,0,285
76,1,76,0,659
77,1,77,0,893
78,1,78,0,521
79,1,79,0,580
80,1,80,0,57
81,1,81,0,0
82,1,82,0,0
83,1,83,0,0
84,2,0,0,0
85,2,1,0,0
86,2,2,0,3
87,2,3,0,2
88,2,4,0,27
89,2,5,0,17
90,2,6,0,37
91,2,7,0,52
92,2,8,0,18
93,2,9,0,69
94,2,10,0,78
95,2,11,0,201
96,2,12,0,120
97,2,13,0,135
98,2,14,0,449
99,2,15,0,213
100,2,16,0,92
101,2,17,0,281
102,2,18,0,35
103,2,19,0,48
104,2,20,0,61
105,2,21,0,64
106,2,22,0,48
107,2,23,0,110
108,2,24,0,538
109,2,25,0,1234
110,2,26,0,807
111,2,27,0,2168
112,2,28,0,1832
113,2,29,0,1239
114,2,30,0,1155
115,2,31,0,1646
116,2,32,0,1594
117,2,33,0,815
118,2,34,0,255
119,2,35,0,422
120,2,36,0,870
121,2,37,0,683
122,2,38,0,651
123,2,39,0,0
124,2,40,0,0
125,2,41,0,0
126,2,42,0,0
127,2,43,0,0
128,2,44,0,8
129,2,45,0,16
130,2,46,0,40
131,2,47,0,53
132,2,48,0,35
133,2,49,0,41
134,2,50,0,12
135,2,51,0,43
136,2,52,1,64
137,2,53,1,51
138,2,54,0,118
139,2,55,0,44
140,2,56,0,172
141,2,57,0,102
142,2,58,0,66
143,2,59,0,51
144,2,60,0,45
145,2,61,0,35
146,2,62,0,19
147,2,63,0,44
148,2,64,0,132
149,2,65,0,83
150,2,66,0,205
151,2,67,0,990
152,2,68,0,303
153,2,69,0,247
154,2,70,0,491
155,2,71,1,824
156,2,72,0,334
157,2,73,0,370
158,2,74,0,438
159,2,75,0,286
160,2,76,0,679
161,2,77,0,619
162,2,78,0,645
163,2,79,0,477
164,2,80,0,378
165,2,81,0,0
166,2,82,0,0
167,2,83,0,0
