run_number,calibration_stage,mean_le_ns,mean_le_pixels_1472_1487_ns,mean_le_pixels_1200_1215_ns,mean_le_pixels_480_495_ns,n_le_hits
3573,2,29.1335,34.8509,29.9759,25.4873,42696
3575,2,29.2383,34.8734,31.5693,25.4878,34564
3602,2,34.9182,40.434,31.3861,30.3932,9876
3603,2,34.7671,40.4572,32.2197,30.3816,9197
3604,2,34.8167,41.2205,31.2123,30.5892,9101
3648,2,34.843,39.9622,32.0878,29.9846,16752
3682,2,34.1153,39.6629,31.2467,30.1209,142792
3685,2,34.0654,39.4833,31.143,30.0808,65633
3686,2,34.1161,39.8804,31.5265,30.1891,98855
3694,2,34.3803,39.1508,31.3484,30.4524,55020
3757,2,33.9712,39.6418,30.8843,30.0752,74683
3758,2,34.2802,40.2137,31.4784,30.1319,33987
3786,2,34.2164,39.5363,31.2635,30.1239,89428
3788,2,34.2419,38.339,31.055,30.1541,65062
3844,2,34.0701,38.2986,31.2579,30.3414,98202
3845,2,34.141,38.5905,31.6536,30.2133,113133
3846,2,33.9794,38.9845,31.3664,30.2491,274665
4003,2,34.1855,39.151,31.752,30.599,24119
4006,2,34.158,39.1954,31.538,30.6296,14597
4344,2,42.6191,42.7533,42.646,41.9267,7220
4345,2,42.437,42.5845,42.5609,42.2386,10545
4400,2,43.0366,42.776,41.3976,42.0612,72929
4722,2,43.3566,42.4582,42.4543,42.4935,10492
4735,2,42.5171,44.9522,42.5216,42.6138,22029
4926,2,43.6271,44.4963,41.6403,42.3438,5064
4929,2,43.3192,44.3645,43.3253,42.3822,4322
4985,2,43.3741,40.3149,42.2367,42.3447,3648
5066,2,43.7433,43.6705,42.8908,42.4731,16170
5068,2,43.3652,42.4163,41.6392,41.678,19125
5290,2,42.7525,42.1181,41.3946,40.6408,3463
5292,2,42.9147,42.8997,41.5769,41.6875,8504
5294,2,42.5752,41.6227,41.2256,41.5575,8101
5423,2,42.6853,43.1094,41.5266,41.869,14363
5710,2,30.4131,31.2256,29.7718,28.8857,523934
5722,2,30.6633,32.0749,30.6645,29.5735,15261
5723,2,30.6432,32.032,29.7996,29.4007,41492
5724,2,30.5817,31.6896,28.8759,28.8297,7371
5726,2,30.5728,32.1399,30.6507,29.5044,7654
5794,2,30.9312,32.1546,30.69,29.444,3507
5795,2,30.8383,32.97,31.715,29.3668,4699
5976,2,22.1977,22.6343,23.5086,19.0294,5280
5979,2,23.5454,25.0915,24.6483,21.633,950
5992,2,23.6482,22.192,24.2601,19.496,6433
