run_number,calibration_stage,mean_ecal_adctime_ns,n_ecal_events
3573,2,9.21874,33256
3575,2,9.241,26996
3602,2,14.414,7841
3603,2,14.4193,7480
3604,2,14.5548,7253
3648,2,14.5091,13645
3682,2,14.1113,101935
3685,2,14.1686,46989
3686,2,13.8298,71161
3694,2,14.054,39302
3757,2,13.9559,53827
3758,2,13.8876,24692
3786,2,13.9858,62905
3788,2,14.3503,46409
3844,2,14.0198,72508
3845,2,14.0533,82972
3846,2,13.9167,202968
4003,2,13.772,18816
4006,2,13.759,11268
4344,2,21.1012,6640
4345,2,21.132,9411
4400,2,22.8272,63121
4722,2,23.0651,9242
4735,2,22.2055,18932
4926,2,23.9244,4758
4929,2,23.9735,4055
4985,2,23.9216,3385
5066,2,22.9603,17175
5068,2,23.0355,20419
5290,2,23.6881,3311
5292,2,23.7432,8178
5294,2,23.8217,7698
5423,2,23.5658,13930
5710,2,22.0404,474951
5722,2,22.3755,15185
5723,2,22.3817,40264
5724,2,22.3951,7307
5726,2,22.3389,7451
5794,2,22.5901,3511
5795,2,22.5169,4463
5976,2,12.3842,6890
5979,2,13.7481,1228
5992,2,13.2963,8292
