# CDet timing versus ECal time by half-bar (PMT group)
# Four overview canvases: two seven-half-bar banks for each layer
# layer half_module bank half_bar_in_half_module global_half_bar entries fit_status p0_ns p0_err_ns p1_ns_per_ns p1_err chi2 ndf chi2_ndf probability
1 0 0 0 0 0 -1 nan nan nan nan nan 0 nan nan
1 0 0 1 1 0 -1 nan nan nan nan nan 0 nan nan
1 0 0 2 2 0 -1 nan nan nan nan nan 0 nan nan
1 0 0 3 3 15 0 39.5499 4.19594 -0.562376 0.162074 2.41271 1 2.41271 0.120354
1 0 0 4 4 299 0 36.4857 1.93141 -0.216239 0.0776017 12.432 2 6.21601 0.0019972
1 0 0 5 5 169 0 40.2455 1.80492 -0.305803 0.0757049 27.9474 3 9.31581 3.72551e-06
1 0 0 6 6 601 0 36.1269 1.25922 -0.253218 0.0549958 2.76072 2 1.38036 0.251488
1 1 0 0 14 1382 0 37.3042 0.763612 -0.213262 0.0310678 0.338709 3 0.112903 0.952591
1 1 0 1 15 1896 0 34.8933 0.572245 -0.185885 0.0244543 3.62468 3 1.20823 0.304948
1 1 0 2 16 2764 0 32.3238 0.371142 -0.0787907 0.016046 0.733202 3 0.244401 0.865368
1 1 0 3 17 1782 0 34.3853 0.483778 -0.148868 0.0206221 2.9923 3 0.997433 0.392814
1 1 0 4 18 1506 0 36.1665 0.446676 -0.254008 0.0197531 28.4531 4 7.11327 1.00947e-05
1 1 0 5 19 918 0 37.0622 0.674737 -0.297492 0.0294254 0.718631 3 0.239544 0.868813
1 1 0 6 20 1277 0 36.6846 0.473276 -0.257022 0.0211475 3.08366 3 1.02789 0.378905
1 2 0 0 28 10304 0 34.0685 0.180539 -0.241164 0.00835966 17.0663 4 4.26657 0.00187645
1 2 0 1 29 11494 0 36.5157 0.203363 -0.389677 0.00981029 80.1089 3 26.703 2.90856e-17
1 2 0 2 30 21312 0 34.8269 0.109707 -0.2311 0.00516985 57.5786 4 14.3947 9.3544e-12
1 2 0 3 31 2035 0 31.0395 0.381093 -0.145364 0.0186138 21.4346 3 7.14487 8.55135e-05
1 2 0 4 32 7814 0 32.7664 0.219657 -0.262923 0.011219 55.9462 3 18.6487 4.31341e-12
1 2 0 5 33 8546 0 29.1427 0.2175 -0.106486 0.0110708 4.31799 3 1.43933 0.229111
1 2 0 6 34 6660 0 36.1921 0.288147 -0.335733 0.0130161 18.2143 4 4.55357 0.00112059
1 3 0 0 42 0 -1 nan nan nan nan nan 0 nan nan
1 3 0 1 43 0 -1 nan nan nan nan nan 0 nan nan
1 3 0 2 44 4 0 5.37737 2.51323e+08 0.959737 8.97581e+06 0 0 nan nan
1 3 0 3 45 127 0 32.8386 1.86577 -0.0628146 0.0710263 2.63419 2 1.31709 0.267913
1 3 0 4 46 749 0 33.9927 0.829177 -0.0201793 0.0322735 11.4623 3 3.82077 0.00947147
1 3 0 5 47 424 0 44.416 1.94586 -0.498358 0.0776614 9.72791 2 4.86396 0.00771989
1 3 0 6 48 578 0 40.985 1.38095 -0.345399 0.0546228 3.96588 2 1.98294 0.137664
1 4 0 0 56 3109 0 34.1155 0.388832 -0.011327 0.0146963 14.2631 4 3.56578 0.00650097
1 4 0 1 57 3034 0 35.089 0.481781 -0.0930681 0.0186526 77.6025 4 19.4006 5.60693e-16
