layer,side,module,bar_local,global_bar,t0,t1,sigma,alpha,beta,chi2,ndf,ok
1,1,1,1,1,10.1402,11.0494,0.0542128,0.00665633,0.992008,0.819235,9361,1
1,1,1,2,2,10.1329,11.0564,0.0512908,0.00621717,0.992379,0.795555,9361,1
1,1,1,3,3,10.1393,11.0478,0.0564191,0.00606918,0.992671,0.690133,9361,1
1,1,1,4,4,10.1408,11.0496,0.0560611,0.00665688,0.992179,0.794902,9361,1
1,1,1,5,5,10.1417,11.0402,0.0547552,0.00650379,0.991607,0.831336,9361,1
1,1,1,6,6,10.1353,11.0489,0.0541663,0.00625041,0.991822,0.954097,9361,1
1,1,1,7,7,10.1423,11.0398,0.0546519,0.00621829,0.992742,0.753114,9361,1
1,1,1,8,8,10,11.127,0.05,0,1,0,0,0
1,1,1,9,9,10.1566,11.0163,0.0750748,0.00662491,0.991987,0.811184,9361,1
1,1,1,10,10,10.1504,11.0046,0.0732106,0.00813469,0.990072,0.942322,9361,1
1,1,1,11,11,10.1581,11.0103,0.0747985,0.00710609,0.991336,0.796105,9361,1
1,1,1,12,12,10.1545,11.0347,0.060127,0.00700935,0.990675,0.973779,9361,1
1,1,1,13,13,10.1209,11.0842,0.042589,0.00410866,0.994228,0.602736,9361,1
1,1,1,14,14,10.1146,11.0937,0.039435,0.00402866,0.994605,0.584879,9361,1
1,1,2,1,15,10.1196,11.0863,0.04477,0.00433524,0.994302,0.699195,9361,1
1,1,2,2,16,10.1178,11.0804,0.0463026,0.00379366,0.994738,0.598817,9361,1
1,1,2,3,17,10.1467,11.0546,0.0550076,0.00548071,0.993602,0.943983,9361,1
1,1,2,4,18,10.1362,11.0601,0.0543414,0.00496486,0.993623,0.675519,9361,1
1,1,2,5,19,10.1308,11.072,0.0458981,0.00497313,0.993644,0.717713,9361,1
1,1,2,6,20,10.1283,11.0698,0.0479115,0.00482663,0.994215,0.831983,9361,1
